Amine,Bromide,Catalyst,Solvent,Base,yield
1,1,16,3,b,7.240267
1,1,16,3,c,0.5073955
1,1,17,1,a,0.6282796
1,1,17,1,b,3.8717527
1,1,17,1,c,0.19337682
1,1,17,2,a,0.9766117
1,1,17,2,b,4.4953504
1,1,17,2,c,0.18660375
1,1,17,3,a,0.34256053
1,1,17,3,b,3.7089915
1,1,17,3,c,0.23560058
1,1,18,1,a,0.5563006
1,1,18,1,b,1.2680252
1,1,18,1,c,0.21049435
1,1,18,2,a,1.125219
1,1,18,2,b,1.9975805
1,1,18,2,c,0.14414077
1,1,18,3,a,0.6048449
1,1,18,3,b,1.8380067
1,1,18,3,c,0.17673104
1,1,19,1,a,0.66125077
1,1,19,1,b,2.5853226
1,1,19,1,c,0.38196546
1,1,19,2,a,1.1460416
1,1,19,2,b,3.640235
1,1,19,2,c,0.18643428
1,1,19,3,a,1.0475262
1,1,19,3,b,3.318471
1,1,19,3,c,0.25827935
1,1,20,1,a,2.51442
1,1,20,1,b,4.789562
1,1,20,1,c,0.23591019
1,1,20,2,a,4.7521014
1,1,20,2,b,6.30079
1,1,20,2,c,0.1313044
1,1,20,3,a,3.1235793
1,1,20,3,b,5.319909
1,1,20,3,c,0.157493
1,1,21,1,a,0.565928
1,1,21,1,b,4.711307
1,1,21,1,c,0.20720513
1,1,21,2,a,0.9726809
1,1,21,2,b,3.2268748
1,1,21,2,c,0.06404191
1,1,21,3,a,0.50522524
1,1,21,3,b,4.4288106
1,1,21,3,c,0.115556985
1,2,1,1,a,42.503716
1,2,1,1,b,60.661938
1,2,1,1,c,4.9130535
1,2,1,2,a,51.23947
1,2,1,2,b,69.70306
1,2,1,2,c,7.3940887
1,2,1,3,a,41.039497
1,2,1,3,b,60.071037
1,2,1,3,c,4.9795036
1,2,2,1,a,61.297974
1,2,2,1,b,65.22819
1,2,2,1,c,16.607494
1,2,2,2,a,75.54696
1,2,2,2,b,80.05218
1,2,2,2,c,22.504215
1,2,2,3,a,61.3684
1,2,2,3,b,66.247505
1,2,2,3,c,17.145098
1,2,3,1,a,22.91376
1,2,3,1,b,13.538158
1,2,3,1,c,0.4490874
1,2,3,2,a,24.005589
1,2,3,2,b,16.590801
1,2,3,2,c,0.81467474
1,2,3,3,a,19.972609
1,2,3,3,b,12.052966
1,2,3,3,c,0.43673816
1,2,4,1,a,46.96913
1,2,4,1,b,30.444902
1,2,4,1,c,3.8178744
1,2,4,2,a,54.154198
1,2,4,2,b,39.47995
1,2,4,2,c,5.5785327
1,2,4,3,a,45.756966
1,2,4,3,b,29.173018
1,2,4,3,c,3.437688
1,2,5,1,a,47.46691
1,2,5,1,b,46.41658
1,2,5,1,c,7.601923
1,2,5,2,a,53.129364
1,2,5,2,b,55.593563
1,2,5,2,c,9.981508
1,2,5,3,a,45.3957
1,2,5,3,b,44.97537
1,2,5,3,c,7.6139183
1,2,6,1,a,28.381992
1,2,6,1,b,27.783047
1,2,6,1,c,2.1227283
1,2,6,2,a,31.343191
1,2,6,2,b,32.164204
1,2,6,2,c,2.6418273
1,2,6,3,a,25.590528
1,2,6,3,b,25.012302
1,2,6,3,c,1.7665586
1,2,7,1,a,53.316303
1,2,7,1,b,34.015774
1,2,7,1,c,29.22968
1,2,7,2,a,72.30589
1,2,7,2,b,53.15901
1,2,7,2,c,43.036663
1,2,7,3,a,54.044655
1,2,7,3,b,35.6982
1,2,7,3,c,31.993326
1,2,8,1,a,56.228107
1,2,8,1,b,39.558743
1,2,8,1,c,29.397463
1,2,8,2,a,76.6363
1,2,8,2,b,59.477325
1,2,8,2,c,41.287674
1,2,8,3,a,54.817436
1,2,8,3,b,39.606224
1,2,8,3,c,30.599752
1,2,9,1,a,50.298267
1,2,9,1,b,34.419094
1,2,9,1,c,29.152464
1,2,9,2,a,69.8659
1,2,9,2,b,50.656746
1,2,9,2,c,39.020508
1,2,9,3,a,50.37802
1,2,9,3,b,35.36777
1,2,9,3,c,31.209566
1,2,10,1,a,49.456158
1,2,10,1,b,63.572212
1,2,10,1,c,10.966441
1,2,10,2,a,61.488605
1,2,10,2,b,76.63535
1,2,10,2,c,17.438498
1,2,10,3,a,49.848114
1,2,10,3,b,65.05945
1,2,10,3,c,12.114933
1,2,11,1,a,58.019917
1,2,11,1,b,63.53355
1,2,11,1,c,5.91561
1,2,11,2,a,64.874695
1,2,11,2,b,73.45953
1,2,11,2,c,8.373356
1,2,11,3,a,57.260445
1,2,11,3,b,62.63537
1,2,11,3,c,5.5820518
1,2,12,1,a,51.042698
1,2,12,1,b,59.338455
1,2,12,1,c,3.9258907
1,2,12,2,a,59.196987
1,2,12,2,b,70.41527
1,2,12,2,c,6.852079
1,2,12,3,a,49.657795
1,2,12,3,b,58.389812
1,2,12,3,c,4.100046
1,2,13,1,a,34.793507
1,2,13,1,b,67.21098
1,2,13,1,c,3.5810604
1,2,13,2,a,40.43059
1,2,13,2,b,70.49052
1,2,13,2,c,5.5364046
1,2,13,3,a,32.82428
1,2,13,3,b,64.73757
1,2,13,3,c,3.621193
1,2,14,1,a,52.973957
1,2,14,1,b,47.091213
1,2,14,1,c,18.377123
1,2,14,2,a,72.06895
1,2,14,2,b,66.929855
1,2,14,2,c,27.328312
1,2,14,3,a,51.32827
1,2,14,3,b,47.1993
1,2,14,3,c,18.995043
1,2,16,1,a,57.71189
1,2,16,1,b,53.860653
1,2,16,1,c,11.454981
1,2,16,2,a,65.08826
1,2,16,2,b,62.454033
1,2,16,2,c,14.2432165
1,2,16,3,a,54.75639
1,2,16,3,b,53.37266
1,2,16,3,c,10.926946
1,2,17,1,a,56.467255
1,2,17,1,b,60.737514
1,2,17,1,c,7.330897
1,2,17,2,a,68.02006
1,2,17,2,b,71.72638
1,2,17,2,c,11.414836
1,2,17,3,a,53.33244
1,2,17,3,b,58.690544
1,2,17,3,c,6.6598268
1,2,18,1,a,65.28344
1,2,18,1,b,69.39939
1,2,18,1,c,8.349101
1,2,18,2,a,73.029236
1,2,18,2,b,80.53856
1,2,18,2,c,12.495445
1,2,18,3,a,66.32745
1,2,18,3,b,71.27311
1,2,18,3,c,8.810136
1,2,19,1,a,63.275684
1,2,19,1,b,60.61699
1,2,19,1,c,8.876027
1,2,19,2,a,74.84799
1,2,19,2,b,74.84362
1,2,19,2,c,13.493067
1,2,19,3,a,64.51745
1,2,19,3,b,62.103794
1,2,19,3,c,9.175402
1,2,20,1,a,67.675224
1,2,20,1,b,69.05468
1,2,20,1,c,9.2741375
1,2,20,2,a,80.34853
1,2,20,2,b,81.43019
1,2,20,2,c,15.50058
1,2,20,3,a,68.29058
1,2,20,3,b,69.16342
1,2,20,3,c,9.887779
1,2,21,1,a,67.95826
1,2,21,1,b,62.61622
1,2,21,1,c,7.214862
1,2,21,2,a,76.74376
1,2,21,2,b,73.587616
1,2,21,2,c,10.45591
1,2,21,3,a,66.5116
1,2,21,3,b,60.930786
1,2,21,3,c,7.0258913
1,3,1,1,a,3.4454625
1,3,1,1,b,11.367622
1,3,1,1,c,0.56275815
1,3,1,2,a,5.8307853
1,3,1,2,b,15.658672
1,3,1,2,c,0.5659728
1,3,1,3,a,3.0025473
1,3,1,3,b,11.825161
1,3,1,3,c,0.5024022
1,3,2,1,a,15.468555
1,3,2,1,b,17.044237
1,3,2,1,c,2.3694615
1,3,2,2,a,22.039091
1,3,2,2,b,24.791628
1,3,2,2,c,2.7260644
1,3,2,3,a,14.585079
1,3,2,3,b,17.82822
1,3,2,3,c,2.2195158
1,3,3,1,a,1.841008
1,3,3,1,b,0.33744296
1,3,3,1,c,0.7172492
1,3,3,2,a,2.5036848
1,3,3,2,b,0.3598595
1,3,3,2,c,0.6418251
1,3,3,3,a,1.395152
1,3,3,3,b,0.3698274
1,3,3,3,c,0.61831945
1,3,4,1,a,11.57921
1,3,4,1,b,4.6403484
1,3,4,1,c,0.7594467
1,3,4,2,a,16.77194
1,3,4,2,b,7.2639585
1,3,4,2,c,0.861443
1,3,4,3,a,10.177488
1,3,4,3,b,3.7638361
1,3,4,3,c,0.6483555
1,3,5,1,a,5.928651
1,3,5,1,b,5.493863
1,3,5,1,c,0.7352143
1,3,5,2,a,8.324925
1,3,5,2,b,8.294563
1,3,5,2,c,0.80033255
1,3,5,3,a,4.561809
1,3,5,3,b,4.939973
1,3,5,3,c,0.4591695
1,3,6,1,a,4.041094
1,3,6,1,b,1.9361169
1,3,6,1,c,0.63173574
1,3,6,2,a,4.529098
1,3,6,2,b,2.4636548
1,3,6,2,c,0.43907765
1,3,6,3,a,3.3053896
1,3,6,3,b,1.4547305
1,3,6,3,c,0.7036866
1,3,7,1,a,34.58281
1,3,7,1,b,8.836659
1,3,7,1,c,26.06055
1,3,7,2,a,45.937206
1,3,7,2,b,21.827404
1,3,7,2,c,34.49772
1,3,7,3,a,35.53608
1,3,7,3,b,12.561509
1,3,7,3,c,27.482664
1,3,8,1,a,31.11583
1,3,8,1,b,13.29893
1,3,8,1,c,25.482458
1,3,8,2,a,42.314217
1,3,8,2,b,26.45772
1,3,8,2,c,32.6345
1,3,8,3,a,31.14336
1,3,8,3,b,15.734841
1,3,8,3,c,25.794039
1,3,9,1,a,28.059084
1,3,9,1,b,6.843473
1,3,9,1,c,26.137648
1,3,9,2,a,36.585583
1,3,9,2,b,16.20681
1,3,9,2,c,32.882988
1,3,9,3,a,28.326723
1,3,9,3,b,9.371946
1,3,9,3,c,26.63916
1,3,10,1,a,11.273998
1,3,10,1,b,13.88173
1,3,10,1,c,1.436817
1,3,10,2,a,17.618761
1,3,10,2,b,20.702028
1,3,10,2,c,2.6985104
1,3,10,3,a,11.207075
1,3,10,3,b,14.999834
1,3,10,3,c,1.355514
1,3,11,1,a,10.480609
1,3,11,1,b,7.8751373
1,3,11,1,c,0.5882244
1,3,11,2,a,12.533227
1,3,11,2,b,12.346739
1,3,11,2,c,0.6365546
1,3,11,3,a,9.37331
1,3,11,3,b,7.443942
1,3,11,3,c,0.58554775
1,3,12,1,a,3.64631
1,3,12,1,b,8.947842
1,3,12,1,c,0.50637436
1,3,12,2,a,6.4192076
1,3,12,2,b,13.955016
1,3,12,2,c,0.5505779
1,3,12,3,a,3.4221752
1,3,12,3,b,9.20828
1,3,12,3,c,0.50801104
1,3,13,1,a,1.7183335
1,3,13,1,b,14.660618
1,3,13,1,c,0.6063255
1,3,13,2,a,2.819218
1,3,13,2,b,11.797616
1,3,13,2,c,0.6868608
1,3,13,3,a,0.9642678
1,3,13,3,b,12.8741255
1,3,13,3,c,0.5992491
1,3,14,1,a,20.690271
1,3,14,1,b,9.794218
1,3,14,1,c,9.037386
1,3,14,2,a,30.853245
1,3,14,2,b,21.727901
1,3,14,2,c,13.976174
1,3,14,3,a,19.878967
1,3,14,3,b,12.208758
1,3,14,3,c,9.242214
1,3,16,1,a,36.588787
1,3,16,1,b,10.863781
1,3,16,1,c,3.2244012
1,3,16,2,a,36.22208
1,3,16,2,b,15.493672
1,3,16,2,c,2.5316515
1,3,16,3,a,33.427013
1,3,16,3,b,10.8977165
1,3,16,3,c,2.5055332
1,3,17,1,a,14.375233
1,3,17,1,b,17.915146
1,3,17,1,c,-0.030530898
1,3,17,2,a,19.728792
1,3,17,2,b,22.993614
1,3,17,2,c,0.71448684
1,3,17,3,a,12.787477
1,3,17,3,b,17.400972
1,3,17,3,c,0.16055897
1,3,18,1,a,12.420692
1,3,18,1,b,7.8803763
1,3,18,1,c,0.56701857
1,3,18,2,a,16.61122
1,3,18,2,b,15.807865
1,3,18,2,c,0.44456232
1,3,18,3,a,13.921296
1,3,18,3,b,9.466465
1,3,18,3,c,0.48285794
1,3,19,1,a,12.660492
1,3,19,1,b,7.9488096
1,3,19,1,c,0.6506336
1,3,19,2,a,20.667742
1,3,19,2,b,16.82747
1,3,19,2,c,0.48939458
1,3,19,3,a,14.136523
1,3,19,3,b,9.8121805
1,3,19,3,c,0.5081788
1,3,20,1,a,13.165582
1,3,20,1,b,14.748419
1,3,20,1,c,0.13235892
1,3,20,2,a,21.250637
1,3,20,2,b,23.994148
1,3,20,2,c,0.34118053
1,3,20,3,a,13.683754
1,3,20,3,b,16.261635
1,3,20,3,c,-0.06541583
1,3,21,1,a,18.35651
1,3,21,1,b,15.654755
1,3,21,1,c,0.3557637
1,3,21,2,a,22.981651
1,3,21,2,b,19.800886
1,3,21,2,c,0.5484797
1,3,21,3,a,16.942558
1,3,21,3,b,15.310213
1,3,21,3,c,0.3141512
1,4,1,1,a,30.69948
1,4,1,1,b,45.654003
1,4,1,1,c,2.5804377
1,4,1,2,a,40.36977
1,4,1,2,b,49.9478
1,4,1,2,c,3.9357474
1,4,1,3,a,29.16359
1,4,1,3,b,43.74169
1,4,1,3,c,2.4900727
1,4,2,1,a,51.472515
1,4,2,1,b,49.70082
1,4,2,1,c,19.41803
1,4,2,2,a,67.13642
1,4,2,2,b,59.183903
1,4,2,2,c,22.405746
1,4,2,3,a,50.919098
1,4,2,3,b,48.71974
1,4,2,3,c,18.976793
1,4,3,1,a,13.443801
1,4,3,1,b,11.757556
1,4,3,1,c,1.1970221
1,4,3,2,a,16.46633
1,4,3,2,b,10.695457
1,4,3,2,c,1.1147414
1,4,3,3,a,11.16032
1,4,3,3,b,10.140723
1,4,3,3,c,0.9436584
1,4,4,1,a,38.58333
1,4,4,1,b,27.835632
1,4,4,1,c,4.5044775
1,4,4,2,a,47.807297
1,4,4,2,b,29.511864
1,4,4,2,c,5.2318716
1,4,4,3,a,36.94557
1,4,4,3,b,25.30327
1,4,4,3,c,3.8610563
1,4,5,1,a,31.284733
1,4,5,1,b,31.346127
1,4,5,1,c,7.499336
1,4,5,2,a,40.113323
1,4,5,2,b,34.233906
1,4,5,2,c,7.6288013
1,4,5,3,a,28.879915
1,4,5,3,b,28.18198
1,4,5,3,c,6.6719046
1,4,6,1,a,22.418734
1,4,6,1,b,15.753884
1,4,6,1,c,2.4894927
1,4,6,2,a,26.346529
1,4,6,2,b,17.466448
1,4,6,2,c,2.3470883
1,4,6,3,a,19.88215
1,4,6,3,b,12.943975
1,4,6,3,c,1.9631125
1,4,7,1,a,61.56689
1,4,7,1,b,27.109072
1,4,7,1,c,57.955875
1,4,7,2,a,75.22101
1,4,7,2,b,41.176655
1,4,7,2,c,68.16109
1,4,7,3,a,62.79953
1,4,7,3,b,29.203426
1,4,7,3,c,60.13712
1,4,8,1,a,58.212814
1,4,8,1,b,33.06439
1,4,8,1,c,57.213154
1,4,8,2,a,73.54278
1,4,8,2,b,48.095184
1,4,8,2,c,66.354195
1,4,8,3,a,57.445297
1,4,8,3,b,34.193203
1,4,8,3,c,58.070255
1,4,9,1,a,55.94405
1,4,9,1,b,23.863403
1,4,9,1,c,58.624096
1,4,9,2,a,69.15184
1,4,9,2,b,36.192924
1,4,9,2,c,67.28652
1,4,9,3,a,55.521996
1,4,9,3,b,25.772074
1,4,9,3,c,59.970116
1,4,10,1,a,38.55496
1,4,10,1,b,41.623283
1,4,10,1,c,7.5255437
1,4,10,2,a,50.98023
1,4,10,2,b,52.07977
1,4,10,2,c,12.13336
1,4,10,3,a,38.454643
1,4,10,3,b,42.103413
1,4,10,3,c,7.8829827
1,4,11,1,a,46.65709
1,4,11,1,b,38.78274
1,4,11,1,c,3.1228583
1,4,11,2,a,54.984425
1,4,11,2,b,49.10884
1,4,11,2,c,4.170429
1,4,11,3,a,46.117416
1,4,11,3,b,37.427124
1,4,11,3,c,2.7173796
1,4,12,1,a,38.620037
1,4,12,1,b,45.97138
1,4,12,1,c,1.579365
1,4,12,2,a,47.463493
1,4,12,2,b,53.06332
1,4,12,2,c,3.1393294
1,4,12,3,a,36.51439
1,4,12,3,b,43.892197
1,4,12,3,c,1.8502152
1,4,13,1,a,26.759243
1,4,13,1,b,53.241367
1,4,13,1,c,1.1296334
1,4,13,2,a,32.382736
1,4,13,2,b,52.770218
1,4,13,2,c,2.046523
1,4,13,3,a,23.94779
1,4,13,3,b,49.44129
1,4,13,3,c,1.0992756
1,4,14,1,a,58.505527
1,4,14,1,b,33.035202
1,4,14,1,c,42.33156
1,4,14,2,a,73.040375
1,4,14,2,b,49.02573
1,4,14,2,c,50.987045
1,4,14,3,a,57.12958
1,4,14,3,b,34.974102
1,4,14,3,c,42.11892
1,4,16,1,a,80.15152
1,4,16,1,b,38.35224
1,4,16,1,c,24.200695
1,4,16,2,a,84.07323
1,4,16,2,b,42.024654
1,4,16,2,c,24.024706
1,4,16,3,a,76.681694
1,4,16,3,b,36.379723
1,4,16,3,c,22.938993
1,4,17,1,a,52.75481
1,4,17,1,b,58.915497
1,4,17,1,c,8.556893
1,4,17,2,a,65.10299
1,4,17,2,b,61.85091
1,4,17,2,c,11.027583
1,4,17,3,a,49.452644
1,4,17,3,b,56.98179
1,4,17,3,c,7.564163
1,4,18,1,a,56.92048
1,4,18,1,b,43.795914
1,4,18,1,c,4.1895857
1,4,18,2,a,66.50311
1,4,18,2,b,55.798874
1,4,18,2,c,5.9454355
1,4,18,3,a,57.881294
1,4,18,3,b,43.867214
1,4,18,3,c,4.766204
1,4,19,1,a,56.766228
1,4,19,1,b,40.93826
1,4,19,1,c,6.0235834
1,4,19,2,a,70.991295
1,4,19,2,b,54.99258
1,4,19,2,c,8.912182
1,4,19,3,a,56.785156
1,4,19,3,b,41.88335
1,4,19,3,c,6.403683
1,4,20,1,a,53.285313
1,4,20,1,b,57.52916
1,4,20,1,c,4.708688
1,4,20,2,a,67.25434
1,4,20,2,b,64.143456
1,4,20,2,c,8.267243
1,4,20,3,a,53.42795
1,4,20,3,b,56.504616
1,4,20,3,c,4.384482
1,4,21,1,a,60.913143
1,4,21,1,b,55.518112
1,4,21,1,c,6.1670747
1,4,21,2,a,72.37663
1,4,21,2,b,57.213715
1,4,21,2,c,6.990316
1,4,21,3,a,59.61527
1,4,21,3,b,53.4919
1,4,21,3,c,5.2710705
1,5,1,1,a,23.950346
1,5,1,1,b,45.24226
1,5,1,1,c,0.9186492
1,5,1,2,a,30.514254
1,5,1,2,b,49.297318
1,5,1,2,c,1.7299385
1,5,1,3,a,23.60349
1,5,1,3,b,45.54983
1,5,1,3,c,1.0168071
1,5,2,1,a,32.960205
1,5,2,1,b,40.881992
1,5,2,1,c,6.433201
1,5,2,2,a,44.90433
1,5,2,2,b,48.847927
1,5,2,2,c,7.852829
1,5,2,3,a,33.564526
1,5,2,3,b,41.56657
1,5,2,3,c,6.742812
1,5,3,1,a,13.963711
1,5,3,1,b,16.488111
1,5,3,1,c,0.6619294
1,5,3,2,a,16.136812
1,5,3,2,b,13.614829
1,5,3,2,c,0.43401125
1,5,3,3,a,12.423885
1,5,3,3,b,15.000686
1,5,3,3,c,0.59129614
1,5,4,1,a,32.86196
1,5,4,1,b,25.342913
1,5,4,1,c,1.4292825
1,5,4,2,a,42.60567
1,5,4,2,b,26.814034
1,5,4,2,c,1.8513453
1,5,4,3,a,32.3898
1,5,4,3,b,23.325584
1,5,4,3,c,1.2497275
1,5,5,1,a,24.5346
1,5,5,1,b,30.838762
1,5,5,1,c,1.6357702
1,5,5,2,a,32.06403
1,5,5,2,b,32.612946
1,5,5,2,c,1.7813932
1,5,5,3,a,24.433088
1,5,5,3,b,29.027815
1,5,5,3,c,1.696328
1,5,6,1,a,20.104097
1,5,6,1,b,23.234118
1,5,6,1,c,1.1809634
1,5,6,2,a,23.585121
1,5,6,2,b,23.28287
1,5,6,2,c,1.1307795
1,5,6,3,a,19.056934
1,5,6,3,b,20.85468
1,5,6,3,c,1.0171381
1,5,7,1,a,14.706828
1,5,7,1,b,19.854992
1,5,7,1,c,5.672843
1,5,7,2,a,25.710478
1,5,7,2,b,28.230005
1,5,7,2,c,10.686615
1,5,7,3,a,15.659118
1,5,7,3,b,21.14541
1,5,7,3,c,7.372583
1,5,8,1,a,13.258526
1,5,8,1,b,22.328123
1,5,8,1,c,4.413735
1,5,8,2,a,25.98272
1,5,8,2,b,31.960619
1,5,8,2,c,8.1564245
1,5,8,3,a,12.72315
1,5,8,3,b,22.149576
1,5,8,3,c,4.965965
1,5,9,1,a,13.082762
1,5,9,1,b,20.643572
1,5,9,1,c,7.077646
1,5,9,2,a,22.791544
1,5,9,2,b,26.879263
1,5,9,2,c,10.209892
1,5,9,3,a,13.153319
1,5,9,3,b,20.871593
1,5,9,3,c,8.152059
1,5,10,1,a,34.621735
1,5,10,1,b,45.115322
1,5,10,1,c,4.7390223
1,5,10,2,a,43.712296
1,5,10,2,b,50.340218
1,5,10,2,c,7.411484
1,5,10,3,a,35.407784
1,5,10,3,b,45.48682
1,5,10,3,c,5.1870747
1,5,11,1,a,41.23974
1,5,11,1,b,37.82354
1,5,11,1,c,1.3631196
1,5,11,2,a,48.237404
1,5,11,2,b,45.33599
1,5,11,2,c,2.2299922
1,5,11,3,a,43.22929
1,5,11,3,b,37.785984
1,5,11,3,c,1.5139953
1,5,12,1,a,30.270622
1,5,12,1,b,43.793945
1,5,12,1,c,0.75206745
1,5,12,2,a,36.70496
1,5,12,2,b,49.98245
1,5,12,2,c,1.7619367
1,5,12,3,a,30.024858
1,5,12,3,b,44.435623
1,5,12,3,c,1.2316264
1,5,13,1,a,22.049047
1,5,13,1,b,59.164238
1,5,13,1,c,0.71019644
1,5,13,2,a,25.4223
1,5,13,2,b,58.46255
1,5,13,2,c,1.2335427
1,5,13,3,a,21.057373
1,5,13,3,b,57.87981
1,5,13,3,c,0.8000591
1,5,14,1,a,23.077637
1,5,14,1,b,31.885483
1,5,14,1,c,4.546029
1,5,14,2,a,32.158108
1,5,14,2,b,40.769756
1,5,14,2,c,7.312226
1,5,14,3,a,21.567392
1,5,14,3,b,32.21908
1,5,14,3,c,4.5366516
1,5,16,1,a,53.019306
1,5,16,1,b,47.53903
1,5,16,1,c,6.7261624
1,5,16,2,a,55.24634
1,5,16,2,b,48.567745
1,5,16,2,c,8.370811
1,5,16,3,a,51.350864
1,5,16,3,b,46.486565
1,5,16,3,c,7.1458764
1,5,17,1,a,43.566082
1,5,17,1,b,63.475845
1,5,17,1,c,2.8493102
1,5,17,2,a,53.047176
1,5,17,2,b,67.855606
1,5,17,2,c,5.1433163
1,5,17,3,a,41.525875
1,5,17,3,b,62.47597
1,5,17,3,c,2.9716923
1,5,18,1,a,51.155106
1,5,18,1,b,44.833706
1,5,18,1,c,1.9248216
1,5,18,2,a,59.132183
1,5,18,2,b,55.214794
1,5,18,2,c,3.037003
1,5,18,3,a,54.697556
1,5,18,3,b,46.766018
1,5,18,3,c,2.3523042
1,5,19,1,a,43.634224
1,5,19,1,b,41.11682
1,5,19,1,c,1.956492
1,5,19,2,a,56.107784
1,5,19,2,b,52.935665
1,5,19,2,c,3.4737444
1,5,19,3,a,46.556854
1,5,19,3,b,43.609295
1,5,19,3,c,2.4341948
1,5,20,1,a,47.173008
1,5,20,1,b,59.530933
1,5,20,1,c,3.1644957
1,5,20,2,a,58.235577
1,5,20,2,b,66.57867
1,5,20,2,c,5.4677196
1,5,20,3,a,48.583546
1,5,20,3,b,60.201626
1,5,20,3,c,3.325724
1,5,21,1,a,57.21391
1,5,21,1,b,66.14456
1,5,21,1,c,3.5710292
1,5,21,2,a,68.09448
1,5,21,2,b,68.39571
1,5,21,2,c,4.965489
1,5,21,3,a,57.79691
1,5,21,3,b,65.234085
1,5,21,3,c,3.9409456
1,6,1,1,a,10.366703
1,6,1,1,b,35.9727
1,6,1,1,c,0.5875227
1,6,1,2,a,15.119231
1,6,1,2,b,36.041256
1,6,1,2,c,1.0631404
1,6,1,3,a,9.664675
1,6,1,3,b,34.65673
