new_index,ligand,base,solvent,ligand_equivalent,objective_conversion,objective_selectivity,priority
327,dtbpf,None,DMF,0.0625,PENDING,PENDING,0.0
326,dtbpf,KOAc,DMF,0.0625,PENDING,PENDING,0.0
325,dtbpf,Cs2CO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
324,dtbpf,KOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
323,dtbpf,1M K3PO4(aq.),DMF,0.0625,PENDING,PENDING,0.0
322,dtbpf,CsF(aq.),DMF,0.0625,PENDING,PENDING,0.0
321,dtbpf,s. NaHCO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
319,SPhos,None,DMF,0.0625,PENDING,PENDING,0.0
318,SPhos,KOAc,DMF,0.0625,PENDING,PENDING,0.0
317,SPhos,Cs2CO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
316,SPhos,KOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
315,SPhos,1M K3PO4(aq.),DMF,0.0625,PENDING,PENDING,0.0
314,SPhos,CsF(aq.),DMF,0.0625,PENDING,PENDING,0.0
313,SPhos,s. NaHCO3(aq.),DMF,0.0625,PENDING,PENDING,0.0
312,SPhos,NaOH(aq.),DMF,0.0625,PENDING,PENDING,0.0
311,CataCXium A,None,DMF,0.125,PENDING,PENDING,0.0
310,CataCXium A,KOAc,DMF,0.125,PENDING,PENDING,0.0
309,CataCXium A,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
308,CataCXium A,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
307,CataCXium A,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
306,CataCXium A,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
305,CataCXium A,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
304,CataCXium A,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
303,P(o-Tol)3,None,DMF,0.125,PENDING,PENDING,0.0
302,P(o-Tol)3,KOAc,DMF,0.125,PENDING,PENDING,0.0
301,P(o-Tol)3,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
300,P(o-Tol)3,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
299,P(o-Tol)3,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
298,P(o-Tol)3,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
297,P(o-Tol)3,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
296,P(o-Tol)3,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
295,P(Cy)3,None,DMF,0.125,PENDING,PENDING,0.0
294,P(Cy)3,KOAc,DMF,0.125,PENDING,PENDING,0.0
293,P(Cy)3,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
292,P(Cy)3,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
291,P(Cy)3,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
290,P(Cy)3,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
289,P(Cy)3,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
288,P(Cy)3,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
287,AmPhos,None,DMF,0.125,PENDING,PENDING,0.0
286,AmPhos,KOAc,DMF,0.125,PENDING,PENDING,0.0
285,AmPhos,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
284,AmPhos,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
283,AmPhos,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
282,AmPhos,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
281,AmPhos,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
280,AmPhos,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
279,P(Ph)3,None,DMF,0.125,PENDING,PENDING,0.0
278,P(Ph)3,KOAc,DMF,0.125,PENDING,PENDING,0.0
277,P(Ph)3,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
276,P(Ph)3,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
275,P(Ph)3,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
274,P(Ph)3,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
273,P(Ph)3,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
272,P(Ph)3,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
271,P(tBu)3,None,DMF,0.125,PENDING,PENDING,0.0
270,P(tBu)3,KOAc,DMF,0.125,PENDING,PENDING,0.0
269,P(tBu)3,Cs2CO3(aq.),DMF,0.125,PENDING,PENDING,0.0
268,P(tBu)3,KOH(aq.),DMF,0.125,PENDING,PENDING,0.0
267,P(tBu)3,1M K3PO4(aq.),DMF,0.125,PENDING,PENDING,0.0
266,P(tBu)3,CsF(aq.),DMF,0.125,PENDING,PENDING,0.0
265,P(tBu)3,s. NaHCO3(aq.),DMF,0.125,PENDING,PENDING,0.0
264,P(tBu)3,NaOH(aq.),DMF,0.125,PENDING,PENDING,0.0
263,Xanthphos,None,THF,0.0625,PENDING,PENDING,0.0
262,Xanthphos,KOAc,THF,0.0625,PENDING,PENDING,0.0
261,Xanthphos,Cs2CO3(aq.),THF,0.0625,PENDING,PENDING,0.0
260,Xanthphos,KOH(aq.),THF,0.0625,PENDING,PENDING,0.0
259,Xanthphos,1M K3PO4(aq.),THF,0.0625,PENDING,PENDING,0.0
258,Xanthphos,CsF(aq.),THF,0.0625,PENDING,PENDING,0.0
257,Xanthphos,s. NaHCO3(aq.),THF,0.0625,PENDING,PENDING,0.0
256,Xanthphos,NaOH(aq.),THF,0.0625,PENDING,PENDING,0.0
255,dppf,None,THF,0.0625,PENDING,PENDING,0.0
254,dppf,KOAc,THF,0.0625,PENDING,PENDING,0.0
253,dppf,Cs2CO3(aq.),THF,0.0625,PENDING,PENDING,0.0
252,dppf,KOH(aq.),THF,0.0625,PENDING,PENDING,0.0
251,dppf,1M K3PO4(aq.),THF,0.0625,PENDING,PENDING,0.0
250,dppf,CsF(aq.),THF,0.0625,PENDING,PENDING,0.0
249,dppf,s. NaHCO3(aq.),THF,0.0625,PENDING,PENDING,0.0
248,dppf,NaOH(aq.),THF,0.0625,PENDING,PENDING,0.0
247,XPhos,None,THF,0.0625,PENDING,PENDING,0.0
246,XPhos,KOAc,THF,0.0625,PENDING,PENDING,0.0
245,XPhos,Cs2CO3(aq.),THF,0.0625,PENDING,PENDING,0.0
244,XPhos,KOH(aq.),THF,0.0625,PENDING,PENDING,0.0
243,XPhos,1M K3PO4(aq.),THF,0.0625,PENDING,PENDING,0.0
242,XPhos,CsF(aq.),THF,0.0625,PENDING,PENDING,0.0
241,XPhos,s. NaHCO3(aq.),THF,0.0625,PENDING,PENDING,0.0
240,XPhos,NaOH(aq.),THF,0.0625,PENDING,PENDING,0.0
239,dtbpf,None,THF,0.0625,PENDING,PENDING,0.0
238,dtbpf,KOAc,THF,0.0625,PENDING,PENDING,0.0
237,dtbpf,Cs2CO3(aq.),THF,0.0625,PENDING,PENDING,0.0
236,dtbpf,KOH(aq.),THF,0.0625,PENDING,PENDING,0.0
235,dtbpf,1M K3PO4(aq.),THF,0.0625,PENDING,PENDING,0.0
234,dtbpf,CsF(aq.),THF,0.0625,PENDING,PENDING,0.0
232,dtbpf,NaOH(aq.),THF,0.0625,PENDING,PENDING,0.0
231,SPhos,None,THF,0.0625,PENDING,PENDING,0.0
230,SPhos,KOAc,THF,0.0625,PENDING,PENDING,0.0
229,SPhos,Cs2CO3(aq.),THF,0.0625,PENDING,PENDING,0.0
227,SPhos,1M K3PO4(aq.),THF,0.0625,PENDING,PENDING,0.0
226,SPhos,CsF(aq.),THF,0.0625,PENDING,PENDING,0.0
225,SPhos,s. NaHCO3(aq.),THF,0.0625,PENDING,PENDING,0.0
224,SPhos,NaOH(aq.),THF,0.0625,PENDING,PENDING,0.0
223,CataCXium A,None,THF,0.125,PENDING,PENDING,0.0
222,CataCXium A,KOAc,THF,0.125,PENDING,PENDING,0.0
221,CataCXium A,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
220,CataCXium A,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
219,CataCXium A,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
218,CataCXium A,CsF(aq.),THF,0.125,PENDING,PENDING,0.0
217,CataCXium A,s. NaHCO3(aq.),THF,0.125,PENDING,PENDING,0.0
216,CataCXium A,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
215,P(o-Tol)3,None,THF,0.125,PENDING,PENDING,0.0
214,P(o-Tol)3,KOAc,THF,0.125,PENDING,PENDING,0.0
213,P(o-Tol)3,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
212,P(o-Tol)3,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
211,P(o-Tol)3,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
209,P(o-Tol)3,s. NaHCO3(aq.),THF,0.125,PENDING,PENDING,0.0
208,P(o-Tol)3,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
207,P(Cy)3,None,THF,0.125,PENDING,PENDING,0.0
206,P(Cy)3,KOAc,THF,0.125,PENDING,PENDING,0.0
205,P(Cy)3,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
204,P(Cy)3,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
203,P(Cy)3,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
202,P(Cy)3,CsF(aq.),THF,0.125,PENDING,PENDING,0.0
201,P(Cy)3,s. NaHCO3(aq.),THF,0.125,PENDING,PENDING,0.0
200,P(Cy)3,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
199,AmPhos,None,THF,0.125,PENDING,PENDING,0.0
198,AmPhos,KOAc,THF,0.125,PENDING,PENDING,0.0
197,AmPhos,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
196,AmPhos,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
195,AmPhos,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
194,AmPhos,CsF(aq.),THF,0.125,PENDING,PENDING,0.0
193,AmPhos,s. NaHCO3(aq.),THF,0.125,PENDING,PENDING,0.0
192,AmPhos,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
191,P(Ph)3,None,THF,0.125,PENDING,PENDING,0.0
190,P(Ph)3,KOAc,THF,0.125,PENDING,PENDING,0.0
189,P(Ph)3,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
188,P(Ph)3,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
187,P(Ph)3,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
186,P(Ph)3,CsF(aq.),THF,0.125,PENDING,PENDING,0.0
184,P(Ph)3,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
183,P(tBu)3,None,THF,0.125,PENDING,PENDING,0.0
182,P(tBu)3,KOAc,THF,0.125,PENDING,PENDING,0.0
181,P(tBu)3,Cs2CO3(aq.),THF,0.125,PENDING,PENDING,0.0
180,P(tBu)3,KOH(aq.),THF,0.125,PENDING,PENDING,0.0
179,P(tBu)3,1M K3PO4(aq.),THF,0.125,PENDING,PENDING,0.0
178,P(tBu)3,CsF(aq.),THF,0.125,PENDING,PENDING,0.0
177,P(tBu)3,s. NaHCO3(aq.),THF,0.125,PENDING,PENDING,0.0
176,P(tBu)3,NaOH(aq.),THF,0.125,PENDING,PENDING,0.0
175,Xanthphos,None,MeCN,0.0625,PENDING,PENDING,0.0
174,Xanthphos,KOAc,MeCN,0.0625,PENDING,PENDING,0.0
173,Xanthphos,Cs2CO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
172,Xanthphos,KOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
171,Xanthphos,1M K3PO4(aq.),MeCN,0.0625,PENDING,PENDING,0.0
170,Xanthphos,CsF(aq.),MeCN,0.0625,PENDING,PENDING,0.0
169,Xanthphos,s. NaHCO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
168,Xanthphos,NaOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
167,dppf,None,MeCN,0.0625,PENDING,PENDING,0.0
165,dppf,Cs2CO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
164,dppf,KOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
163,dppf,1M K3PO4(aq.),MeCN,0.0625,PENDING,PENDING,0.0
162,dppf,CsF(aq.),MeCN,0.0625,PENDING,PENDING,0.0
161,dppf,s. NaHCO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
160,dppf,NaOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
159,XPhos,None,MeCN,0.0625,PENDING,PENDING,0.0
158,XPhos,KOAc,MeCN,0.0625,PENDING,PENDING,0.0
157,XPhos,Cs2CO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
156,XPhos,KOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
155,XPhos,1M K3PO4(aq.),MeCN,0.0625,PENDING,PENDING,0.0
154,XPhos,CsF(aq.),MeCN,0.0625,PENDING,PENDING,0.0
152,XPhos,NaOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
151,dtbpf,None,MeCN,0.0625,PENDING,PENDING,0.0
150,dtbpf,KOAc,MeCN,0.0625,PENDING,PENDING,0.0
149,dtbpf,Cs2CO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
148,dtbpf,KOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
147,dtbpf,1M K3PO4(aq.),MeCN,0.0625,PENDING,PENDING,0.0
146,dtbpf,CsF(aq.),MeCN,0.0625,PENDING,PENDING,0.0
144,dtbpf,NaOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
143,SPhos,None,MeCN,0.0625,PENDING,PENDING,0.0
142,SPhos,KOAc,MeCN,0.0625,PENDING,PENDING,0.0
141,SPhos,Cs2CO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
140,SPhos,KOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
139,SPhos,1M K3PO4(aq.),MeCN,0.0625,PENDING,PENDING,0.0
138,SPhos,CsF(aq.),MeCN,0.0625,PENDING,PENDING,0.0
137,SPhos,s. NaHCO3(aq.),MeCN,0.0625,PENDING,PENDING,0.0
136,SPhos,NaOH(aq.),MeCN,0.0625,PENDING,PENDING,0.0
135,CataCXium A,None,MeCN,0.125,PENDING,PENDING,0.0
134,CataCXium A,KOAc,MeCN,0.125,PENDING,PENDING,0.0
133,CataCXium A,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
132,CataCXium A,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
131,CataCXium A,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
130,CataCXium A,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
129,CataCXium A,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
128,CataCXium A,NaOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
127,P(o-Tol)3,None,MeCN,0.125,PENDING,PENDING,0.0
125,P(o-Tol)3,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
124,P(o-Tol)3,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
123,P(o-Tol)3,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
122,P(o-Tol)3,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
121,P(o-Tol)3,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
120,P(o-Tol)3,NaOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
119,P(Cy)3,None,MeCN,0.125,PENDING,PENDING,0.0
117,P(Cy)3,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
116,P(Cy)3,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
115,P(Cy)3,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
114,P(Cy)3,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
113,P(Cy)3,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
112,P(Cy)3,NaOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
111,AmPhos,None,MeCN,0.125,PENDING,PENDING,0.0
110,AmPhos,KOAc,MeCN,0.125,PENDING,PENDING,0.0
109,AmPhos,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
108,AmPhos,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
107,AmPhos,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
106,AmPhos,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
105,AmPhos,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
104,AmPhos,NaOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
103,P(Ph)3,None,MeCN,0.125,PENDING,PENDING,0.0
102,P(Ph)3,KOAc,MeCN,0.125,PENDING,PENDING,0.0
101,P(Ph)3,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
100,P(Ph)3,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
99,P(Ph)3,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
98,P(Ph)3,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
97,P(Ph)3,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
95,P(tBu)3,None,MeCN,0.125,PENDING,PENDING,0.0
94,P(tBu)3,KOAc,MeCN,0.125,PENDING,PENDING,0.0
93,P(tBu)3,Cs2CO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
92,P(tBu)3,KOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
91,P(tBu)3,1M K3PO4(aq.),MeCN,0.125,PENDING,PENDING,0.0
90,P(tBu)3,CsF(aq.),MeCN,0.125,PENDING,PENDING,0.0
89,P(tBu)3,s. NaHCO3(aq.),MeCN,0.125,PENDING,PENDING,0.0
88,P(tBu)3,NaOH(aq.),MeCN,0.125,PENDING,PENDING,0.0
87,Xanthphos,None,MeOH,0.0625,PENDING,PENDING,0.0
86,Xanthphos,KOAc,MeOH,0.0625,PENDING,PENDING,0.0
85,Xanthphos,Cs2CO3(aq.),MeOH,0.0625,PENDING,PENDING,0.0
84,Xanthphos,KOH(aq.),MeOH,0.0625,PENDING,PENDING,0.0
83,Xanthphos,1M K3PO4(aq.),MeOH,0.0625,PENDING,PENDING,0.0
82,Xanthphos,CsF(aq.),MeOH,0.0625,PENDING,PENDING,0.0
81,Xanthphos,s. NaHCO3(aq.),MeOH,0.0625,PENDING,PENDING,0.0
79,dppf,None,MeOH,0.0625,PENDING,PENDING,0.0
78,dppf,KOAc,MeOH,0.0625,PENDING,PENDING,0.0
77,dppf,Cs2CO3(aq.),MeOH,0.0625,PENDING,PENDING,0.0
75,dppf,1M K3PO4(aq.),MeOH,0.0625,PENDING,PENDING,0.0
74,dppf,CsF(aq.),MeOH,0.0625,PENDING,PENDING,0.0
72,dppf,NaOH(aq.),MeOH,0.0625,PENDING,PENDING,0.0
67,XPhos,1M K3PO4(aq.),MeOH,0.0625,PENDING,PENDING,0.0
66,XPhos,CsF(aq.),MeOH,0.0625,PENDING,PENDING,0.0
63,dtbpf,None,MeOH,0.0625,PENDING,PENDING,0.0
62,dtbpf,KOAc,MeOH,0.0625,PENDING,PENDING,0.0
61,dtbpf,Cs2CO3(aq.),MeOH,0.0625,PENDING,PENDING,0.0
60,dtbpf,KOH(aq.),MeOH,0.0625,PENDING,PENDING,0.0
59,dtbpf,1M K3PO4(aq.),MeOH,0.0625,PENDING,PENDING,0.0
58,dtbpf,CsF(aq.),MeOH,0.0625,PENDING,PENDING,0.0
56,dtbpf,NaOH(aq.),MeOH,0.0625,PENDING,PENDING,0.0
55,SPhos,None,MeOH,0.0625,PENDING,PENDING,0.0
54,SPhos,KOAc,MeOH,0.0625,PENDING,PENDING,0.0
53,SPhos,Cs2CO3(aq.),MeOH,0.0625,PENDING,PENDING,0.0
52,SPhos,KOH(aq.),MeOH,0.0625,PENDING,PENDING,0.0
51,SPhos,1M K3PO4(aq.),MeOH,0.0625,PENDING,PENDING,0.0
50,SPhos,CsF(aq.),MeOH,0.0625,PENDING,PENDING,0.0
47,CataCXium A,None,MeOH,0.125,PENDING,PENDING,0.0
45,CataCXium A,Cs2CO3(aq.),MeOH,0.125,PENDING,PENDING,0.0
44,CataCXium A,KOH(aq.),MeOH,0.125,PENDING,PENDING,0.0
43,CataCXium A,1M K3PO4(aq.),MeOH,0.125,PENDING,PENDING,0.0
42,CataCXium A,CsF(aq.),MeOH,0.125,PENDING,PENDING,0.0
35,P(o-Tol)3,1M K3PO4(aq.),MeOH,0.125,PENDING,PENDING,0.0
23,AmPhos,None,MeOH,0.125,PENDING,PENDING,0.0
21,AmPhos,Cs2CO3(aq.),MeOH,0.125,PENDING,PENDING,0.0
20,AmPhos,KOH(aq.),MeOH,0.125,PENDING,PENDING,0.0
19,AmPhos,1M K3PO4(aq.),MeOH,0.125,PENDING,PENDING,0.0
7,P(tBu)3,None,MeOH,0.125,PENDING,PENDING,0.0
6,P(tBu)3,KOAc,MeOH,0.125,PENDING,PENDING,0.0
5,P(tBu)3,Cs2CO3(aq.),MeOH,0.125,PENDING,PENDING,0.0
4,P(tBu)3,KOH(aq.),MeOH,0.125,PENDING,PENDING,0.0
3,P(tBu)3,1M K3PO4(aq.),MeOH,0.125,PENDING,PENDING,0.0
2,P(tBu)3,CsF(aq.),MeOH,0.125,PENDING,PENDING,0.0
320,dtbpf,NaOH(aq.),DMF,0.0625,3.8,0.0,-1.0
233,dtbpf,s. NaHCO3(aq.),THF,0.0625,5.4,9.25925925925926,-1.0
228,SPhos,KOH(aq.),THF,0.0625,4.300000000000001,0.0,-1.0
210,P(o-Tol)3,CsF(aq.),THF,0.125,7.700000000000001,6.493506493506493,-1.0
185,P(Ph)3,s. NaHCO3(aq.),THF,0.125,11.6,22.41379310344828,-1.0
166,dppf,KOAc,MeCN,0.0625,4.5,15.555555555555555,-1.0
153,XPhos,s. NaHCO3(aq.),MeCN,0.0625,11.2,1.785714285714286,-1.0
145,dtbpf,s. NaHCO3(aq.),MeCN,0.0625,7.1,7.042253521126761,-1.0
118,P(Cy)3,KOAc,MeCN,0.125,3.8,23.68421052631579,-1.0
96,P(Ph)3,NaOH(aq.),MeCN,0.125,16.7,36.52694610778443,-1.0
80,Xanthphos,NaOH(aq.),MeOH,0.0625,12.2,41.80327868852459,-1.0
76,dppf,KOH(aq.),MeOH,0.0625,28.3,49.1166077738516,-1.0
73,dppf,s. NaHCO3(aq.),MeOH,0.0625,36.3,67.49311294765839,-1.0
71,XPhos,None,MeOH,0.0625,33.5,63.28358208955224,-1.0
70,XPhos,KOAc,MeOH,0.0625,51.4,74.12451361867704,-1.0
69,XPhos,Cs2CO3(aq.),MeOH,0.0625,41.0,70.73170731707317,-1.0
68,XPhos,KOH(aq.),MeOH,0.0625,46.0,72.6086956521739,-1.0
65,XPhos,s. NaHCO3(aq.),MeOH,0.0625,79.39999999999999,83.50125944584383,-1.0
64,XPhos,NaOH(aq.),MeOH,0.0625,77.9,83.31193838254171,-1.0
57,dtbpf,s. NaHCO3(aq.),MeOH,0.0625,19.6,21.428571428571427,-1.0
49,SPhos,s. NaHCO3(aq.),MeOH,0.0625,28.0,58.57142857142858,-1.0
48,SPhos,NaOH(aq.),MeOH,0.0625,45.2,72.34513274336285,-1.0
46,CataCXium A,KOAc,MeOH,0.125,38.7,69.50904392764858,-1.0
41,CataCXium A,s. NaHCO3(aq.),MeOH,0.125,66.3,81.14630467571644,-1.0
40,CataCXium A,NaOH(aq.),MeOH,0.125,56.400000000000006,78.0141843971631,-1.0
39,P(o-Tol)3,None,MeOH,0.125,59.39999999999999,76.26262626262627,-1.0
38,P(o-Tol)3,KOAc,MeOH,0.125,67.8,74.63126843657818,-1.0
37,P(o-Tol)3,Cs2CO3(aq.),MeOH,0.125,79.5,66.41509433962264,-1.0
36,P(o-Tol)3,KOH(aq.),MeOH,0.125,74.5,75.16778523489933,-1.0
34,P(o-Tol)3,CsF(aq.),MeOH,0.125,83.79999999999998,82.69689737470168,-1.0
33,P(o-Tol)3,s. NaHCO3(aq.),MeOH,0.125,76.5,84.70588235294117,-1.0
32,P(o-Tol)3,NaOH(aq.),MeOH,0.125,83.99999999999999,83.45238095238095,-1.0
31,P(Cy)3,None,MeOH,0.125,76.7,92.4380704041721,-1.0
30,P(Cy)3,KOAc,MeOH,0.125,80.60000000000001,94.04466501240694,-1.0
25,P(Cy)3,s. NaHCO3(aq.),MeOH,0.125,33.9,70.50147492625368,-1.0
24,P(Cy)3,NaOH(aq.),MeOH,0.125,46.5,71.82795698924731,-1.0
22,AmPhos,KOAc,MeOH,0.125,43.7,72.31121281464532,-1.0
18,AmPhos,CsF(aq.),MeOH,0.125,77.3,90.03880983182407,-1.0
17,AmPhos,s. NaHCO3(aq.),MeOH,0.125,75.39999999999999,90.18567639257296,-1.0
16,AmPhos,NaOH(aq.),MeOH,0.125,75.2,89.49468085106382,-1.0
15,P(Ph)3,None,MeOH,0.125,80.30000000000001,94.89414694894144,-1.0
