smiles,xtb_total_energy_eh,xtb_homo_ev,xtb_lumo_ev,xtb_gap_ev,xtb_dipole_debye,xtb_alpha_au,xtb_n_atoms,xtb_q_min,xtb_q_max,xtb_q_mean_abs,xtb_q_std
C=CCc1ccccc1C(=O)O,-34.606213252084,-10.9487,-7.2821,3.6666000000000007,2.282,119.85049,22.0,-0.42185537,0.35782373,0.10117357545454544,0.1644516501918218
C=CCn1ccnc1,-22.738723508424,-10.0912,-6.3702,3.721000000000001,4.303,84.167517,16.0,-0.26498267,0.07631971,0.054264159375,0.07979021148572796
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,-61.788155955722,-9.8133,-7.6015,2.2118,4.383,222.709195,44.0,-0.45144838,0.30217694,0.0620689334090909,0.10353832380509567
C=Cc1ccc2ccccc2c1,-30.749686192206,-10.052,-7.3047,2.747299999999999,0.018,130.388573,22.0,-0.08459694,0.03856891,0.033133953181818186,0.03566452085161991
C=Cc1ccccn1,-21.428363882172,-9.9817,-7.2125,2.7691999999999997,1.716,85.790735,15.0,-0.23150466,0.09785959,0.058022651333333335,0.07689483913718913
C=Cc1cnccn1,-21.692310053063,-9.9544,-7.9432,2.0111999999999997,0.839,81.208979,14.0,-0.21408749,0.09191594,0.07538375071428571,0.09472857532147697
CC#Cc1ccccc1,-23.272716268757,-10.2789,-6.3698,3.9091000000000005,0.845,97.371367,17.0,-0.08377706,0.05259239,0.03913509823529412,0.041923604832460715
CC(=O)/C=C(/C)N1CCCC1,-33.889903856343,-9.3712,-6.5694,2.8018,5.232,114.848111,26.0,-0.397146,0.23413593,0.07603085961538461,0.10962497796719892
CC(=O)C(=O)N1CCCCC1,-34.821698139194,-10.4374,-7.8209,2.6165000000000003,3.515,105.615001,24.0,-0.42402059,0.2325359,0.0977958075,0.1420263716787939
CC(=O)C(=O)c1ccccc1,-31.42999308544,-10.635,-8.6253,2.0097000000000005,2.701,105.858473,19.0,-0.35165024,0.22503989,0.09736531631578947,0.14244830268684
CC(=O)C(C(C)=O)c1ccccc1,-37.769833500735,-10.7826,-7.4616,3.3210000000000006,4.273,128.847663,25.0,-0.36571905,0.2465294,0.0974751808,0.13819380351716945
CC(=O)C(C)(C)O,-23.920943021476,-10.6812,-7.2854,3.3958000000000004,1.544,69.285974,17.0,-0.44260462,0.28924648,0.1365185135294118,0.17963286003068285
CC(=O)C1CCCC1=O,-28.211502918524,-11.0054,-7.3697,3.6357,2.861,84.303118,19.0,-0.36710204,0.2419072,0.11964939894736844,0.15675863674157534
CC(=O)C1CCCCC1,-28.338343899477,-10.6233,-6.9058,3.7175000000000002,3.392,94.696724,23.0,-0.36601329,0.23073759,0.06956099956521741,0.10352180321831048
CC(=O)C1CCCCC1=O,-31.373420235784,-10.83,-7.3241,3.5059000000000005,3.826,96.01639,22.0,-0.37145453,0.24135816,0.10754747999999999,0.14624471007273698
CC(=O)C1CCN(C)C1=O,-31.67403011189,-10.6864,-7.2113,3.475100000000001,2.501,93.810425,21.0,-0.42532668,0.26975684,0.11447815476190475,0.1590642418370506
CC(=O)CC(=O)N(C)C,-29.508560272468,-10.7485,-6.9708,3.7777000000000003,5.58,87.304998,20.0,-0.43437528,0.26459149,0.12420473299999998,0.1661324216866507
CC(=O)CC(=O)Nc1ccccc1,-38.067961846804,-10.2196,-7.767,2.4525999999999994,4.121,126.410573,24.0,-0.43493053,0.27438352,0.11954049666666666,0.1623308126154869
CC(=O)CC(=O)c1ccccc1,-34.602781764418,-10.8473,-8.0303,2.817,4.883,117.28402,22.0,-0.36872919,0.24602465,0.1000867809090909,0.1446302112956989
CC(=O)CC(C)=O,-22.892771539037,-11.174,-7.6995,3.4745,0.948,66.195684,15.0,-0.36186996,0.24450086,0.14707926733333335,0.17838960343903518
CC(=O)CC(N)=O,-23.178459464652,-11.0647,-7.2647,3.8,2.542,63.775561,14.0,-0.42595986,0.29103636,0.18698423571428577,0.21870085645324489
CC(=O)CCC(C)=O,-26.057909715209,-10.8742,-7.0489,3.8253000000000004,0.0,77.704125,18.0,-0.37030835,0.23322397,0.13069909444444444,0.1640449144256467
CC(=O)CCc1nc2ccccc2[nH]1,-39.595709758528,-10.2675,-7.0003,3.2672,0.495,137.385438,26.0,-0.37164098,0.23450882,0.0966880726923077,0.12773361892657395
CC(=O)CN(C)C,-23.279034856192,-9.628,-6.9779,2.6501,4.124,74.517333,18.0,-0.34823003,0.23087724,0.08070341722222223,0.11731542184442086
CC(=O)CNC(C)=O,-26.345299699065,-10.7304,-7.3977,3.332699999999999,2.662,75.437704,17.0,-0.4347355,0.27750461,0.15098419705882352,0.18880654383574613
CC(=O)COCc1ccccc1,-35.624830818692,-10.9748,-7.2413,3.7335000000000003,3.665,120.789292,24.0,-0.35513215,0.23540708,0.08036645,0.12020085467109559
CC(=O)CS(C)(=O)=O,-28.050209459628,-11.5414,-7.8047,3.736699999999999,2.688,82.747249,16.0,-0.55707191,1.02004813,0.24836342562499997,0.3535363714978078
CC(=O)Cc1ccco1,-27.174042635968,-10.4729,-7.221,3.251899999999999,2.977,86.218303,17.0,-0.36067556,0.23909737,0.10651194235294117,0.13453633519513272
CC(=O)NC(C)C(=O)O,-30.435564997616,-10.8439,-7.0214,3.8225,4.899,80.27991,18.0,-0.42787262,0.34449758,0.184000855,0.22847844905687914
CC(=O)NC(C)C(C)=O,-29.513576624528,-10.6604,-7.3563,3.304099999999999,2.748,87.031351,20.0,-0.43723753,0.27745061,0.13836810049999998,0.17658735874581255
CC(=O)NCCO,-24.204522522241,-10.7452,-5.8012,4.944000000000001,5.965,67.042565,16.0,-0.43762583,0.28556744,0.14983230062500003,0.20101260409341792
CC(=O)NCc1ccccc1,-31.863970835011,-10.615,-6.3222,4.292800000000001,4.078,113.350868,22.0,-0.43482061,0.27531727,0.08368575772727273,0.13077953704039894
CC(=O)NNc1ccccc1,-32.107149379309,-9.9389,-6.2605,3.6784,3.271,110.970852,21.0,-0.43001607,0.26836573,0.0997997876190476,0.1403012539949075
CC(=O)Nc1cccc(C(=O)O)n1,-39.27178816425,-10.7118,-8.0753,2.6365,2.683,115.172275,21.0,-0.41303698,0.34714327,0.17300443428571427,0.21716133203744736
CC(=O)Nc1ccccc1,-28.706787129923,-10.4227,-6.5482,3.874500000000001,4.027,101.717723,19.0,-0.41456698,0.27746803,0.09632175999999999,0.13807505134896078
CC(=O)Nc1ccccc1O,-32.78155468103,-10.2015,-6.4925,3.7089999999999996,4.84,106.173973,20.0,-0.42064617,0.30251134,0.1326038605,0.17975697792831447
CC(=O)Nc1ccccn1,-28.973458478213,-9.9527,-6.974,2.9787,5.608,97.316015,18.0,-0.37876223,0.28194963,0.11422168722222222,0.1500757848244905
CC(=O)Nc1nc(C)cs1,-30.099242627169,-10.3481,-7.1307,3.2174000000000005,3.367,105.977268,18.0,-0.39358573,0.28083248,0.1288489022222222,0.16455657725413095
CC(=O)Nc1nccs1,-26.927307545331,-10.6149,-7.2579,3.357,2.804,94.538361,15.0,-0.39253256,0.28104923,0.13624112466666669,0.1739883383432719
CC(=O)OCCO,-24.838220765085,-11.4682,-6.6018,4.8664,0.663,62.725885,15.0,-0.43194095,0.35596574,0.16626269466666665,0.21543708873341316
CC(=O)OCc1ccccn1,-32.765371230988,-10.3655,-7.197,3.1685000000000008,4.05,104.447192,20.0,-0.40560998,0.35697709,0.11258963650000002,0.15659573809448687
CC(=O)Oc1ccccc1,-29.333904888938,-11.0785,-6.8176,4.2609,2.083,97.231957,18.0,-0.39118302,0.35785672,0.10807585166666668,0.15501372143986622
CC(=O)Oc1ccccc1C(=O)O,-39.622955360545,-11.3751,-7.8683,3.5068,2.389,115.242981,21.0,-0.41806772,0.36609901,0.16380303571428573,0.2185087929010061
CC(=O)c1[nH]c(=O)[nH]c1C,-30.935409472229,-10.3526,-7.6656,2.6870000000000003,6.646,90.565489,18.0,-0.45210726,0.31420297,0.15535552222222224,0.1956347527920041
CC(=O)c1cc2ccccc2[nH]1,-32.988755621697,-10.2901,-7.7506,2.5395000000000003,2.265,119.128464,21.0,-0.39363339,0.22601163,0.08044437619047619,0.11878076748181203
CC(=O)c1cc2ccccc2o1,-33.607173945508,-10.8771,-8.1082,2.7689000000000004,4.501,114.691938,20.0,-0.35599409,0.22617178,0.08961283,0.12139995334237269
CC(=O)c1ccc(C(C)=O)s1,-32.550795989705,-11.127,-8.6801,2.446900000000001,6.821,114.810856,19.0,-0.36363198,0.22983317,0.11633400789473684,0.15577512895165532
CC(=O)c1ccc(C)o1,-27.186616513193,-10.7116,-7.6502,3.061400000000001,4.836,86.164596,17.0,-0.38289394,0.22403823,0.11048011764705883,0.13914464583963113
CC(=O)c1ccc(F)nc1,-29.745002108942,-11.0413,-8.3844,2.6569000000000003,1.434,88.517628,16.0,-0.35985089,0.25815201,0.12323413937500001,0.15701503101518446
CC(=O)c1ccc2ccccc2c1O,-38.90579790547,-10.3378,-7.7133,2.6244999999999994,4.805,137.02272,24.0,-0.39323211,0.30630433,0.09544697375000001,0.14691479610756075
CC(=O)c1ccc2ccccc2n1,-35.108156960839,-10.2609,-8.3483,1.9125999999999994,3.955,127.889691,22.0,-0.36730573,0.23101834,0.0827286009090909,0.11932663102937623
CC(=O)c1ccc[nH]1,-23.388306862059,-10.6135,-7.3469,3.2666000000000004,5.171,79.183958,15.0,-0.38504777,0.22238295,0.09320291333333333,0.1340924449277926
CC(=O)c1cccc(C(C)=O)n1,-34.881433331497,-10.7206,-8.4489,2.271699999999999,0.573,112.670526,21.0,-0.36077769,0.23175821,0.12033490904761904,0.15643226348768516
CC(=O)c1ccccc1,-25.245048766207,-10.6905,-7.6976,2.9928999999999997,3.534,92.504369,17.0,-0.37382515,0.22924456,0.0751147588235294,0.11756582718399165
CC(=O)c1ccccc1-n1cccn1,-38.529349230322,-10.6271,-7.3337,3.2934,4.767,137.475844,24.0,-0.36219852,0.24991,0.07694504708333333,0.1135598888600676
CC(=O)c1ccccc1C(=O)O,-35.530165244482,-10.9396,-7.9815,2.958100000000001,1.62,110.515048,20.0,-0.41584934,0.35567315,0.1371306705,0.19840103617650087
CC(=O)c1ccccc1O,-29.317536657935,-10.5516,-7.4819,3.0697,4.93,97.038906,18.0,-0.38558476,0.30325414,0.11964682722222225,0.16859442255651882
CC(=O)c1ccccc1[N+](=O)[O-],-35.692149488822,-11.3538,-8.8977,2.4560999999999993,7.644,106.691435,19.0,-0.37449679,0.53891035,0.13711322000000004,0.20502325904710633
CC(=O)c1ccccn1,-25.515184033346,-10.4279,-8.1027,2.325199999999999,3.316,87.941457,16.0,-0.36663277,0.23137348,0.09833356000000001,0.13529295493729587
CC(=O)c1cccn1C,-26.553206651774,-10.4815,-7.1928,3.2887000000000004,5.458,90.937423,18.0,-0.39051531,0.22453317,0.07855864333333333,0.11928224339731754
CC(=O)c1ccco1,-24.0099509641,-10.8784,-7.8635,3.014899999999999,4.362,74.791745,14.0,-0.36076663,0.22567708,0.1090896507142857,0.1385321626056865
CC(=O)c1cccs1,-23.185349793705,-10.8498,-7.9767,2.8731,4.291,89.904753,14.0,-0.37695934,0.22802145,0.08993492714285713,0.13080815463003204
CC(=O)c1cnc(-c2ccccc2)s1,-38.353982849215,-10.8311,-8.3102,2.5208999999999993,3.014,147.86561,23.0,-0.3733621,0.22930539,0.07748306782608695,0.1164556780291599
CC(=O)c1cncs1,-23.462417662516,-11.0661,-8.4085,2.6576000000000004,2.089,85.370622,13.0,-0.36759767,0.23101822,0.11300063538461541,0.14837329890809867
CC(=O)c1cocn1,-24.283303717032,-11.0375,-8.018,3.019499999999999,5.079,70.232203,13.0,-0.33614876,0.22995386,0.13356769846153843,0.15792543060924116
CC(=O)c1nc(-c2ccccc2)c[nH]1,-38.558442891803,-10.4799,-7.8386,2.641300000000001,2.572,137.076773,24.0,-0.38982433,0.22461717,0.085893815,0.125184043069906
CC(=O)c1ncc[nH]1,-23.670102129448,-10.8135,-7.8603,2.9532,2.625,74.521621,14.0,-0.38855892,0.22554984,0.12189161714285714,0.159248350173521
CC(=O)c1noc(C)n1,-27.696815598445,-11.2409,-8.6318,2.6090999999999998,5.588,77.297559,15.0,-0.3318955,0.24310065,0.14881585866666666,0.16867128905740578
CC(C)(C)C(=O)CC(=O)C(C)(C)C,-41.880498456559,-10.7144,-7.3878,3.326599999999999,3.18,136.204782,33.0,-0.36121306,0.23826734,0.08751732484848485,0.12249812961817629
CC(C)(C)C(=O)Nc1ncccc1O,-42.557840765353,-10.3281,-7.2168,3.111299999999999,3.649,136.619712,28.0,-0.42894726,0.34978575,0.11983172142857143,0.16828661567171216
CC(C)(C)OC(=O)NC1CCCc2cn[nH]c21,-52.342731898478,-10.5557,-5.9613,4.5944,2.669,164.837378,36.0,-0.46976618,0.40303844,0.0990594875,0.14476817406991288
CC(C)(C)OC(=O)NCc1ncc[nH]1,-43.869112281533,-10.5224,-5.8625,4.6598999999999995,2.403,135.063919,29.0,-0.47478876,0.40186805,0.11822346689655173,0.1645398663428896
CC(C)(C)[S@](=O)/N=C/c1cnc[nH]1,-39.815894809032,-9.835,-8.0137,1.8213000000000008,5.051,139.090365,26.0,-0.52755677,0.47094518,0.11323140538461539,0.1716840582601207
CC(C)(CO)C(=O)O,-28.006424440497,-11.3406,-6.7488,4.5918,2.442,74.312585,18.0,-0.43528529,0.34579982,0.15949868777777776,0.21917135334610946
CC(C)(CO)CO,-24.946113659668,-10.9116,0.5566,11.4682,2.947,72.621281,19.0,-0.44635473,0.29023988,0.11638318894736843,0.1793746716692963
CC(C)(F)C(=O)O,-25.00661880437,-11.7048,-7.1533,4.551500000000001,3.867,58.567273,14.0,-0.38509542,0.34474633,0.17623790928571428,0.21762911174342578
CC(C)(O)C(=O)c1ccccc1,-35.632947830018,-10.7993,-7.9587,2.8406000000000002,3.963,120.418245,24.0,-0.45903708,0.30649065,0.09712668666666667,0.15214726216893767
CC(C)(O)C(N)=O,-24.211853880219,-11.0693,-6.2259,4.8434,4.773,66.899125,16.0,-0.45073051,0.31040717,0.171202958125,0.21701971845494006
CC(C)(O)CCO,-24.950604129624,-10.9447,0.6047,11.549399999999999,2.851,72.43941,19.0,-0.45674255,0.2863554,0.1281713705263158,0.18537228330084066
CC(C)(O)Cc1ccccc1,-32.606805247324,-10.4906,-5.8661,4.6245,2.021,118.848452,25.0,-0.45296397,0.28285794,0.0740527228,0.12081437401199964
CC(C)(O)c1ccccc1,-29.438226890093,-10.7649,-6.2248,4.540100000000001,1.638,107.185363,22.0,-0.45198563,0.28243849,0.07681612590909091,0.12635627194740431
CC(C)(O)c1ccccc1O,-33.512954360823,-10.4916,-6.3415,4.1501,3.247,111.709484,23.0,-0.46994688,0.31124617,0.11275333304347825,0.16985141294364572
CC(C)C(=O)CC(=O)C(C)C,-35.551182144885,-10.9095,-7.6289,3.2805999999999997,1.144,112.943479,27.0,-0.35908464,0.23645292,0.09432054666666666,0.13101708432842513
CC(C)NC(=S)NC(C)C,-32.262039283866,-8.8571,-6.1564,2.700700000000001,6.349,121.311055,26.0,-0.46222471,0.19698229,0.09828536807692309,0.1326263815314015
CC(O)(c1cccnc1)C(C)(O)c1cccnc1,-52.079594491483,-9.9938,-7.2205,2.7733,4.068,176.82431,34.0,-0.4636581,0.30918545,0.10025278352941176,0.15354384622980188
CC(O)CCCO,-24.94689061598,-10.9567,0.8649,11.8216,2.753,72.61687,19.0,-0.45150273,0.28881676,0.12052346263157893,0.18134689300595583
CC(O)CN(C)C,-24.310977828369,-9.4642,0.0866,9.5508,2.449,77.622153,20.0,-0.44775523,0.28414407,0.0806963285,0.13359736343497222
CC(O)COc1ccccc1,-33.503745807581,-10.4323,-6.2376,4.1947,1.871,112.105632,23.0,-0.44731774,0.29904345,0.09341386260869565,0.14083143940409604
CC(O)Cc1ccccc1,-29.436300326345,-10.5763,-5.9796,4.5967,1.857,107.33843,22.0,-0.44840955,0.28208393,0.07248274318181819,0.12305465912492622
CC(O)c1ccccc1,-26.271330301968,-10.8363,-6.3032,4.533099999999999,1.779,95.643374,19.0,-0.44904794,0.2843221,0.0764229847368421,0.13083055024748425
CC(O)c1ccccn1,-26.546025950446,-10.5426,-7.2105,3.3321000000000005,3.786,91.057429,18.0,-0.4572933,0.31082669,0.0994757961111111,0.15178092402356547
CC(O)c1ccco1,-25.036184569822,-10.5202,-6.011,4.509200000000001,1.368,77.743251,16.0,-0.44462432,0.28849624,0.109928046875,0.1545791751146815
CC(O)c1nc2ccccc2[nH]1,-34.293843409587,-10.1642,-6.4905,3.6736999999999993,3.399,117.433243,22.0,-0.45614563,0.29189803,0.10494952409090909,0.15054643123369468
CC(O)c1nc2ccccc2s1,-34.091624044557,-10.7177,-7.425,3.292700000000001,1.638,128.099813,21.0,-0.43706994,0.29085026,0.09412298857142856,0.14040646967128081
CC/N=C/c1ccccc1,-27.760839297663,-10.177,-7.3469,2.8301,1.445,109.272746,21.0,-0.23394189,0.06958799,0.045277772857142864,0.06527664786115567
CC1(C)C(=O)Nc2ccccc21,-34.040013240321,-10.4359,-6.6087,3.8272000000000004,3.14,119.891671,23.0,-0.41010576,0.2704522,0.08119090130434782,0.12273020991209013
CC1(C)CCCC(C)(C)C1=O,-34.672930889293,-10.3136,-6.9123,3.401299999999999,3.068,118.005682,29.0,-0.36501666,0.22689416,0.06483572241379311,0.09512422986335901
CC1(C)COC(=O)N1,-26.391985295224,-11.1785,-5.5888,5.5897,6.143,73.76661,17.0,-0.43190024,0.40285091,0.13817114117647059,0.18396158044566757
CC1(C)NC(=O)NC1=O,-28.818873874485,-11.3632,-7.1769,4.186300000000001,3.251,79.876566,17.0,-0.44501319,0.3332316,0.16904702588235293,0.20917386488531614
CC1(C)O[C@@H](C(=O)O)[C@H](C(=O)O)O1,-44.508109982302,-11.237,-7.4133,3.8237000000000005,1.885,103.956565,23.0,-0.39975428,0.35158642,0.2072797343478261,0.2468674141427806
CC1(C)O[C@H](CO)[C@@H](CO)O1,-38.38990548403,-10.8902,-0.9705,9.9197,2.883,100.426716,25.0,-0.43771284,0.30622151,0.14524445519999998,0.19771316347276363
CC1(C)Oc2ccccc2NC1=O,-38.104754231654,-10.3058,-6.8882,3.4175999999999993,2.695,124.605624,24.0,-0.42021705,0.25892997,0.10441699249999999,0.14057500094489941
CC1(O)CCCCC1,-26.214832463465,-10.7741,0.7747,11.5488,1.714,86.138054,22.0,-0.45066585,0.27984192,0.07757448045454546,0.1257524298553124
CC1=CC(=O)CCC1,-24.138631328975,-10.3874,-7.4264,2.9609999999999994,4.876,82.087231,18.0,-0.38574268,0.22951878,0.08646610444444446,0.12076261612169117
CC1C=NNC1=O,-21.51373833107,-10.9059,-7.3782,3.527700000000001,2.574,63.783709,13.0,-0.40850744,0.26743915,0.1193948723076923,0.1594459657042055
CC1CC(=O)OC(=O)C1,-29.14010296777,-11.8923,-8.2097,3.6826000000000008,5.838,77.888086,17.0,-0.35333468,0.35218982,0.14504589294117645,0.18935304964908706
CC1CC(O)=CC(=O)O1,-29.126455656836,-11.0422,-7.3813,3.660899999999999,5.047,80.05639,17.0,-0.39360431,0.35002932,0.1614137176470588,0.20213055850376518
CC1CCC(=O)N1,-22.308204344145,-10.6015,-5.7164,4.8850999999999996,4.552,68.846777,16.0,-0.4297879,0.27642893,0.11197837125000001,0.15367372774541868
CC1CCC(=O)O1,-22.936263789559,-11.3431,-6.5563,4.7867999999999995,5.153,64.509548,15.0,-0.3809145,0.35380548,0.12310446133333335,0.16464568316551664
CC1CCOC1=O,-22.933701425916,-11.2699,-6.5912,4.6787,4.964,64.586808,15.0,-0.3759838,0.35069078,0.11350026533333334,0.1587565925444312
CC1NC(=O)C(=O)OC1C,-32.5691004018,-10.9462,-8.0156,2.9306,8.38,87.282877,19.0,-0.37751109,0.32953757,0.14570236684210527,0.180852894452277
CCC(=O)N(C)C,-23.313462997661,-10.3544,-5.6254,4.729,4.298,74.256949,18.0,-0.43564758,0.25716376,0.08968779833333332,0.13252126252349603
CCC(=O)OC(C)(C)C,-30.284874804142,-10.967,-6.3273,4.6397,2.405,92.857215,23.0,-0.41437467,0.35736584,0.10558176869565215,0.1463914356670616
CCC(=O)c1ccc[nH]1,-26.551532626333,-10.5377,-7.3049,3.2327999999999992,4.989,90.893181,18.0,-0.37947814,0.21638667,0.08148100111111112,0.11998593510867273
CCC(O)c1ccco1,-28.200284704112,-10.4924,-5.9961,4.4963,1.256,89.416135,19.0,-0.44271971,0.28796283,0.09746617157894738,0.14161945164691495
CCC/C(=N\O)C(C)=O,-29.440921438063,-10.8656,-8.1283,2.737300000000001,2.851,87.519034,20.0,-0.34855332,0.31257054,0.11373107600000001,0.15302875283838113
CCCC#CCCC,-24.213079609883,-10.3846,-3.7484,6.6362000000000005,0.056,93.079565,22.0,-0.09884508,0.04405621,0.04337760045454546,0.04756721616666333
CCCC(=O)OCC,-27.113273599857,-11.1572,-6.4463,4.7109,2.23,81.384239,20.0,-0.4093742,0.35553155,0.102574631,0.14757726800414664
CCCC(C)(C)O,-24.057138079693,-10.8834,0.6631,11.5465,1.877,79.522557,21.0,-0.45677751,0.28041897,0.08651191238095239,0.13297138912907763
CCCC(O)CO,-24.945526604838,-10.9562,0.0622,11.018400000000002,2.824,72.70231,19.0,-0.45198198,0.30397058,0.11811064315789473,0.1820972825139029
CCCCC(=O)NC,-26.474989529186,-10.532,-5.644,4.888,4.16,85.78333,21.0,-0.42615524,0.26728915,0.08987358809523809,0.13154972060168382
CCCCC(=O)c1ccccc1,-34.737689160646,-10.5869,-7.6522,2.9347000000000003,3.311,127.520513,26.0,-0.37165845,0.22275556,0.06115948307692309,0.09572461186267353
CCCCC(N)=O,-23.310168359735,-10.6784,-5.6865,4.9919,4.207,73.973842,18.0,-0.42937724,0.28157731,0.11121341388888888,0.15729580811962968
CCCCCC#N,-21.343267185394,-11.51,-5.7861,5.7238999999999995,3.849,76.148192,18.0,-0.23660843,0.11113073,0.06079083833333333,0.07760663767808033
CCCCCC(C)=O,-26.188726140875,-10.7418,-6.8707,3.8710999999999993,3.399,88.081763,22.0,-0.366603,0.23336178,0.07768611136363636,0.1096301191817066
CCCCCCC(C)=O,-29.352019032974,-10.7363,-6.8658,3.8705,3.385,99.756331,25.0,-0.36671483,0.23330774,0.0728194952,0.10373924289112559
CCCCNC(C)=O,-26.478612055109,-10.5294,-5.6541,4.875300000000001,4.39,85.683695,21.0,-0.43486018,0.27268958,0.09397679047619048,0.13653099991017248
CCCCNC=O,-23.3053490173,-10.8334,-5.9802,4.853199999999999,4.314,74.390838,18.0,-0.40242098,0.24607929,0.08831141333333332,0.1320121757395556
CCCCOC(N)=O,-27.396639400833,-11.2994,-5.2386,6.0608,3.144,78.915874,19.0,-0.4671626,0.4079232,0.13389304999999999,0.1885056296711311
CCCCc1ccsc1,-26.480850526263,-10.3663,-6.495,3.8713000000000006,1.374,111.620851,21.0,-0.09998474,0.03908087,0.03828149714285715,0.04222304936251232
CCCCn1ccnc1,-26.964570070881,-10.0392,-5.3772,4.661999999999999,4.543,96.552177,21.0,-0.26687,0.07545401,0.05095695952380952,0.07319681733421197
CCCNC(N)=O,-23.59005715497,-10.5931,-5.093,5.5001,4.207,71.530328,17.0,-0.47245996,0.33710328,0.13910495529411765,0.19009730006047806
CCCNS(C)(=O)=O,-28.458845080568,-10.8658,-3.549,7.316800000000001,5.824,90.758389,19.0,-0.55962474,1.09046484,0.1939153131578947,0.3295338451662166
CCCc1ncc[nH]1,-23.798457442876,-10.061,-5.3549,4.7061,3.826,84.635378,18.0,-0.2766862,0.15507315,0.06888410277777778,0.09357039263095722
CCN(C(C)C)C(C)C,-29.741570445072,-9.0286,-0.2247,8.8039,0.779,107.987304,28.0,-0.19107831,0.04823939,0.051239773928571423,0.06461714243207999
CCN(CC)C(=O)CO,-30.542969746581,-10.7967,-6.0803,4.716399999999999,5.166,90.525934,22.0,-0.44411008,0.31468645,0.11045463272727273,0.1676524150122499
CCN(CC)C(N)=O,-26.761145952013,-10.2468,-4.824,5.4228000000000005,4.577,83.295025,20.0,-0.489516,0.32682896,0.11561780149999998,0.169492217848224
CCN(CC)CCCO,-30.633883630733,-9.2921,0.2472,9.539299999999999,1.886,101.029665,26.0,-0.44636757,0.28247518,0.07004607884615385,0.11875720801425775
CCN(CC)c1ccccc1,-31.974589058692,-9.1647,-5.6547,3.51,2.333,123.948156,26.0,-0.11347052,0.06675485,0.04313546884615384,0.051212648834689296
