experiment_id,plate_id,condition_id,smiles,yield_raw,yield
cx_00022,plate_1,c_adb4434739,C=Cc1ccccn1,56668.72553,0.7218627126095842
cx_00023,plate_1,c_929f506ac2,C=Cc1cnccn1,13197.15425,-0.14472903272454324
cx_00024,plate_1,c_b12aaf9ddd,CC#Cc1ccccc1,54892.59411,0.7029250344247969
cx_00025,plate_1,c_46f6b24532,CC(=O)/C=C(/C)N1CCCC1,41439.32511,0.5357265120515489
cx_00026,plate_1,c_1ebcda584c,CC(=O)C(=O)N1CCCCC1,23263.46516,0.19238327139867942
cx_00027,plate_1,c_c87d3405c5,CC(=O)C(=O)c1ccccc1,19297.38771,0.0812283871501687
cx_00028,plate_1,c_7ce1ca87db,CC(=O)C(C(C)=O)c1ccccc1,12458.95438,-0.17895892752865586
cx_00029,plate_1,c_52a72df913,CC(=O)C(C)(C)O,56910.71826,0.7243968605149814
cx_00030,plate_1,c_43be8d6ff7,CC(=O)C1CCCC1=O,20312.56113,0.11171755027453259
cx_00031,plate_1,c_6951433773,CC(=O)C1CCCCC1,51135.45339,0.660760555152917
cx_00032,plate_1,c_97f73d8fe9,CC(=O)C1CCCCC1=O,20238.77373,0.10955337475165998
cx_00033,plate_1,c_4b732309c7,CC(=O)C1CCN(C)C1=O,5110.25394,-0.7088915732055354
cx_00034,plate_1,c_5c20133624,CC(=O)CC(=O)N(C)C,29170.12433,0.32693808615726355
cx_00035,plate_1,c_1e9901be98,CC(=O)CC(=O)Nc1ccccc1,11858.48015,-0.20833309377016923
cx_00036,plate_1,c_4cad1f331c,CC(=O)CC(=O)c1ccccc1,2626.02328,-1.1047276494528857
cx_00037,plate_1,c_52824eb87e,CC(=O)CC(C)=O,53103.49354,0.6832192018144124
cx_00038,plate_1,c_34f0aedafb,CC(=O)CC(N)=O,25323.24682,0.2428357523618892
cx_00039,plate_1,c_e6aaeea210,CC(=O)CCC(C)=O,51184.75709,0.6613336757276943
cx_00040,plate_1,c_6e69826d33,CC(=O)CCc1nc2ccccc2[nH]1,58296.13413,0.7387006664918566
cx_00041,plate_1,c_7d9150a0e1,CC(=O)CN(C)C,45012.51881,0.5849141642330142
cx_00042,plate_1,c_dd4249697b,CC(=O)CNC(C)=O,49865.5193,0.6458048711627867
cx_00043,plate_1,c_6276436e7a,CC(=O)COCc1ccccc1,50888.14125,0.6578773634532774
cx_00044,plate_1,c_682d934cb3,CC(=O)CS(C)(=O)=O,13408.53785,-0.1352795162122614
cx_00045,plate_1,c_3ce1dedc2d,CC(=O)Cc1ccco1,19492.08676,0.08719829406480172
cx_00046,plate_1,c_d78568401a,CC(=O)NC(C)C(=O)O,3910.07946,-0.8680550283315617
cx_00047,plate_1,c_2a769e0f28,CC(=O)NC(C)C(C)=O,52567.13372,0.6771820259320127
cx_00048,plate_1,c_4c1a4a6c00,CC(=O)NCCO,61103.11964,0.7666677820578157
cx_00049,plate_1,c_76c6e0d2d9,CC(=O)NCc1ccccc1,55205.61117,0.7063065969119259
cx_00050,plate_1,c_9712985d2d,CC(=O)NNc1ccccc1,28268.90595,0.3082751562033118
cx_00051,plate_1,c_96d23cded0,CC(=O)Nc1cccc(C(=O)O)n1,11519.96862,-0.225555242658457
cx_00052,plate_1,c_31dd3d42e6,CC(=O)Nc1ccccc1,56266.98645,0.717631709981954
cx_00053,plate_1,c_0bad516436,CC(=O)Nc1ccccc1O,10344.27766,-0.289569150716135
cx_00054,plate_1,c_ce161772df,CC(=O)Nc1ccccn1,45236.84919,0.5878706211902444
cx_00055,plate_1,c_be1ea4b316,CC(=O)Nc1nc(C)cs1,41812.04671,0.5410515413203247
cx_00056,plate_1,c_4edea3bd72,CC(=O)Nc1nccs1,12610.41531,-0.17177330814294411
cx_00057,plate_1,c_59bdb80415,CC(=O)OCCO,59686.13594,0.7527142019779871
cx_00058,plate_1,c_8366c46d7a,CC(=O)OCc1ccccn1,55710.7885,0.7117238562745463
cx_00059,plate_1,c_93b44a8a0a,CC(=O)Oc1ccccc1,53749.00654,0.6904046494197872
cx_00060,plate_1,c_1737d539be,CC(=O)Oc1ccccc1C(=O)O,11793.37795,-0.21160673545423794
cx_00061,plate_1,c_035cbae044,CC(=O)c1[nH]c(=O)[nH]c1C,8272.95813,-0.4224379059386144
cx_00062,plate_1,c_3bba640cdd,CC(=O)c1cc2ccccc2[nH]1,12319.6041,-0.18564756567447835
cx_00063,plate_1,c_268fc6138e,CC(=O)c1cc2ccccc2o1,24718.77452,0.22846823623509077
cx_00064,plate_1,c_605b7a25b7,CC(=O)c1ccc(C(C)=O)s1,4809.88757,-0.7449091900914461
cx_00065,plate_1,c_3422d899ca,CC(=O)c1ccc(C)o1,44078.96854,0.5724505495809622
cx_00066,plate_1,c_6308e2b3b2,CC(=O)c1ccc(F)nc1,23026.31659,0.1862899121996022
cx_00067,plate_1,c_59bbb46a1c,CC(=O)c1ccc2ccccc2c1O,522.62692,-2.0638946142208536
cx_00068,plate_1,c_c8aa4dce88,CC(=O)c1ccc2ccccc2n1,8944.52941,-0.3760260858372727
cx_00069,plate_1,c_90e5cd8d77,CC(=O)c1ccc[nH]1,40174.98304,0.5172993372754487
cx_00070,plate_1,c_c93c498286,CC(=O)c1cccc(C(C)=O)n1,27364.87649,0.2889464414185399
cx_00071,plate_1,c_e63cabc022,CC(=O)c1ccccc1,55021.79314,0.7043231187778336
cx_00072,plate_1,c_be76c12ab0,CC(=O)c1ccccc1-n1cccn1,55559.75051,0.7101093682279002
cx_00073,plate_1,c_e4f314f21f,CC(=O)c1ccccc1C(=O)O,9428.645985,-0.34468201923474956
cx_00074,plate_1,c_a0a1c15f0a,CC(=O)c1ccccc1O,23390.31346,0.19561709739081345
cx_00075,plate_1,c_7fb224bc2e,CC(=O)c1ccccc1[N+](=O)[O-],0.0,-5.787252453164585
cx_00076,plate_1,c_e4fe6b2157,CC(=O)c1ccccn1,42587.38117,0.5519782125842584
cx_00077,plate_1,c_98bdb06c00,CC(=O)c1cccn1C,59666.73891,0.7525209021590563
cx_00078,plate_1,c_b617eb7502,CC(=O)c1ccco1,30777.39658,0.35883467106598704
cx_00079,plate_1,c_d8ec022a6a,CC(=O)c1cccs1,42221.0129,0.5468400500068747
cx_00080,plate_1,c_e4ab282de3,CC(=O)c1cnc(-c2ccccc2)s1,41300.29839,0.5337279804723625
cx_00081,plate_1,c_06106e42a0,CC(=O)c1cncs1,50434.44782,0.6525515382418751
cx_00082,plate_1,c_9e55a31f64,CC(=O)c1cocn1,20932.35404,0.12959165047057233
cx_00083,plate_1,c_60cddfd79d,CC(=O)c1nc(-c2ccccc2)c[nH]1,14870.70543,-0.07373031456928639
cx_00084,plate_1,c_a4ab41b129,CC(=O)c1ncc[nH]1,43412.46975,0.5633897056460136
cx_00085,plate_1,c_e8fb9342f7,CC(=O)c1noc(C)n1,60085.99659,0.7566850531922107
cx_00086,plate_1,c_f3b2f581f0,CC(C)(C)C(=O)CC(=O)C(C)(C)C,28307.49631,0.30908642465182656
cx_00087,plate_1,c_1b5b36c412,CC(C)(C)C(=O)Nc1ncccc1O,5348.20768,-0.6818300037409607
cx_00088,plate_1,c_d7c2f72148,CC(C)(C)OC(=O)NC1CCCc2cn[nH]c21,46883.22267,0.6091298387452407
cx_00089,plate_1,c_5cdd46a2da,CC(C)(C)OC(=O)NCc1ncc[nH]1,39067.18036,0.500670580233532
cx_00090,plate_1,c_41621916f8,CC(C)(C)[S@](=O)/N=C/c1cnc[nH]1,4097.15988,-0.8402673390291168
cx_00091,plate_1,c_84e92412d2,CC(C)(CO)C(=O)O,19827.15533,0.09733398464253361
cx_00092,plate_1,c_06431808b5,CC(C)(CO)CO,64968.11402,0.8031430468023345
cx_00093,plate_1,c_7a19cb154d,CC(C)(F)C(=O)O,22758.61024,0.17933553097450272
cx_00094,plate_1,c_973ef2b684,CC(C)(O)C(=O)c1ccccc1,55057.37711,0.7047076023109996
cx_00095,plate_1,c_9c3d46c93c,CC(C)(O)C(N)=O,58267.50165,0.7384085037674685
cx_00096,plate_1,c_6ab53edf85,CC(C)(O)CCO,57565.50571,0.7312001439950275
cx_00097,plate_1,c_1dbb4101c0,CC(C)(O)Cc1ccccc1,55638.79313,0.7109548239300619
cx_00098,plate_1,c_82764c1b3f,CC(C)(O)c1ccccc1,58820.13055,0.7440222754231915
cx_00099,plate_1,c_bdb082fca5,CC(C)(O)c1ccccc1O,30074.47219,0.34509500735248844
cx_00100,plate_1,c_a28d5f7c9d,CC(C)C(=O)CC(=O)C(C)C,40647.44211,0.5242521876041437
cx_00101,plate_1,c_aee78f3497,CC(C)NC(=S)NC(C)C,11559.71018,-0.22350731640090832
cx_00102,plate_1,c_ce24af5234,CC(O)(c1cccnc1)C(C)(O)c1cccnc1,53746.41097,0.6903759303028096
cx_00103,plate_1,c_f0312506e3,CC(O)CCCO,58375.1703,0.7395063988822276
cx_00104,plate_1,c_e5d0a27750,CC(O)CN(C)C,50089.81442,0.6484738323494283
cx_00105,plate_1,c_c5794d188c,CC(O)COc1ccccc1,56620.47192,0.7213561069508309
cx_00106,plate_1,c_413719b0d7,CC(O)Cc1ccccc1,57773.83637,0.7333484939604585
cx_00107,plate_1,c_f7921528ba,CC(O)c1ccccc1,58161.24116,0.7373229767568349
cx_00108,plate_1,c_9aaec07d89,CC(O)c1ccccn1,45938.48029,0.5970236937141778
cx_00109,plate_1,c_b5f9633082,CC(O)c1ccco1,45836.99818,0.5957084994337754
cx_00110,plate_1,c_2a7ab32db3,CC(O)c1nc2ccccc2[nH]1,39082.71658,0.5009070318089126
cx_00111,plate_1,c_b7f2827ddf,CC(O)c1nc2ccccc2s1,33284.99484,0.40541467938469616
cx_00112,plate_1,c_90397aef27,CC/N=C/c1ccccc1,53869.93784,0.6917411786867459
cx_00113,plate_1,c_6ccca412f4,CC1(C)C(=O)Nc2ccccc21,63489.8603,0.7894551510610551
cx_00114,plate_1,c_8dfc074371,CC1(C)CCCC(C)(C)C1=O,54314.16848,0.696625180627316
cx_00115,plate_1,c_9aa55497a4,CC1(C)COC(=O)N1,55869.94583,0.713420404883667
cx_00116,plate_1,c_73ff78401a,CC1(C)NC(=O)NC1=O,80884.51697,0.9334579041974134
cx_00117,plate_1,c_430e63a573,CC1(C)O[C@@H](C(=O)O)[C@H](C(=O)O)O1,12640.4298,-0.17035960824877583
cx_00118,plate_1,c_bc5f64c22a,CC1(C)O[C@H](CO)[C@@H](CO)O1,59453.17829,0.7503885136604792
cx_00119,plate_1,c_66b0b3c0cd,CC1(C)Oc2ccccc2NC1=O,54573.02547,0.6994527436897111
cx_00120,plate_1,c_7c56fc8dfb,CC1(O)CCCCC1,56027.21383,0.7150920735122851
cx_00121,plate_1,c_17fdb39ff1,CC1=CC(=O)CCC1,49345.52738,0.6395708517074035
cx_00122,plate_1,c_4bcc9d98ca,CC1C=NNC1=O,14536.57212,-0.08724451862941868
cx_00123,plate_1,c_6f74356b85,CC1CC(=O)OC(=O)C1,20008.91721,0.10276078530260051
cx_00124,plate_1,c_dd942850a3,CC1CC(O)=CC(=O)O1,17865.50848,0.03537991600295517
cx_00125,plate_1,c_734195979d,CC1CCC(=O)N1,298.79259,-2.3955584514829216
cx_00126,plate_1,c_83d5eed542,CC1CCC(=O)O1,54434.08053,0.6979366830925624
cx_00127,plate_1,c_55811899c5,CC1CCOC1=O,52896.16563,0.6808928144617716
cx_00128,plate_1,c_6f8770a612,CC1NC(=O)C(=O)OC1C,475.70787,-2.1197235025527656
cx_00129,plate_1,c_d2787d69ab,CCC(=O)N(C)C,54632.71667,0.7001028633391315
cx_00130,plate_1,c_ebfe67f041,CCC(=O)OC(C)(C)C,42393.52842,0.549265039555907
cx_00131,plate_1,c_0a1e21b480,CCC(=O)c1ccc[nH]1,21906.02099,0.15662926222868795
cx_00132,plate_1,c_f23f9e14b0,CCC(O)c1ccco1,46624.41484,0.6058378486906136
cx_00133,plate_1,c_2ff06e6cfc,CCC/C(=N\O)C(C)=O,3220.21731,-0.9834612294993779
cx_00134,plate_1,c_6b92a7e320,CCCC#CCCC,57533.44041,0.730868789556142
cx_00135,plate_1,c_c04dcd7886,CCCC(=O)OCC,56823.01716,0.7234797016795821
cx_00136,plate_1,c_b76d907e85,CCCC(C)(C)O,55873.5677,0.7134589561927761
cx_00137,plate_1,c_fef5c53640,CCCC(O)CO,54679.3025,0.7006097540926417
cx_00138,plate_1,c_23ae352fa4,CCCCC(=O)NC,56662.83002,0.7218008398858837
cx_00139,plate_1,c_dd372294a2,CCCCC(=O)c1ccccc1,50909.02602,0.6581213814430785
cx_00140,plate_1,c_b28bb54ebb,CCCCC(N)=O,57484.91049,0.7303669426158925
cx_00141,plate_1,c_2cdc69b617,CCCCCC#N,53076.18946,0.6829133477048259
cx_00142,plate_1,c_6de8a92462,CCCCCC(C)=O,57710.54611,0.732696651700144
cx_00143,plate_1,c_172c6fd294,CCCCCCC(C)=O,54440.97996,0.6980120556400183
cx_00144,plate_1,c_0f2d576459,CCCCNC(C)=O,54954.71626,0.703597678865343
cx_00145,plate_1,c_eff78eb27b,CCCCNC=O,58561.92179,0.7414059067410663
cx_00146,plate_1,c_bf12fd35f4,CCCCOC(N)=O,52455.87057,0.6759219544771132
cx_00147,plate_1,c_626e6487fa,CCCCc1ccsc1,53098.64871,0.6831649426058293
cx_00148,plate_1,c_ca083b631e,CCCCn1ccnc1,32901.08772,0.39851565619498697
cx_00149,plate_1,c_5908e28d1d,CCCNC(N)=O,62670.98917,0.7817349868675354
cx_00150,plate_1,c_b7191c441b,CCCNS(C)(=O)=O,54422.21284,0.6978070126355649
cx_00151,plate_1,c_bb3e474201,CCCc1ncc[nH]1,58142.14966,0.7371277332595301
cx_00152,plate_1,c_88c40956c6,CCN(C(C)C)C(C)C,52248.95166,0.6735714443013134
cx_00153,plate_1,c_6ac5a906da,CCN(CC)C(=O)CO,50094.09748,0.6485246815196962
cx_00154,plate_1,c_964e18e698,CCN(CC)C(N)=O,57326.29525,0.7287237453130266
cx_00155,plate_1,c_f3b554dd17,CCN(CC)CCCO,4200.62214,-0.825439627140879
cx_00156,plate_1,c_ef2a038ea9,CCN(CC)c1ccccc1,35695.99108,0.4470026608909426
cx_00157,plate_1,c_8aafc765a3,CCN1CCCC1=O,44449.59291,0.5774299798939271
cx_00158,plate_1,c_3544302468,CCN1CCNC(=O)C1=O,53108.05751,0.6832703110305278
cx_00159,plate_1,c_aeeb674c17,CCNC(=O)C(=O)NCC,52992.46721,0.6819745282265336
cx_00160,plate_1,c_5fc1675a77,CCNC(=O)OC,47910.61327,0.6220212273406949
cx_00161,plate_1,c_1dea961cd0,CCNC(=O)OCC,54541.27759,0.6991066756709341
cx_00162,plate_1,c_db625c7961,CCOC(=N)C(=O)OCC,34746.38677,0.43096802823379626
cx_00163,plate_1,c_9fb550d789,CCOC(=N)CCOC,44907.45152,0.5835244091167725
cx_00164,plate_1,c_c6d3ed577b,CCOC(=O)/C(N)=N\O,15809.73699,-0.03731682680973508
cx_00165,plate_1,c_14b4f5f16b,CCOC(=O)C(=O)C1CCCCC1,43790.08621,0.5685402226310245
cx_00166,plate_1,c_d6b350c8db,CCOC(=O)C(=O)N(C)C,51649.70848,0.66671141491273
cx_00167,plate_1,c_31f2a52b8f,CCOC(=O)C(=O)Nc1ccccc1,57626.12982,0.7318261136763424
cx_00168,plate_1,c_3040f76883,CCOC(=O)C(=O)O,31336.47159,0.36954038454494964
cx_00169,plate_1,c_b2ccb54583,CCOC(=O)C(=O)OCC,55247.51076,0.7067577877812824
cx_00170,plate_1,c_3c72c1b068,CCOC(=O)C(C)=O,49821.27855,0.6452770187414009
cx_00171,plate_1,c_64b3f4f16b,CCOC(=O)C(N)=O,1044.75084,-1.6525261136079015
cx_00172,plate_1,c_c6b58d9914,CCOC(=O)C1CCCCC1=O,34599.62301,0.4284508043493798
cx_00173,plate_1,c_c2e877cad6,CCOC(=O)C1CCNC1=O,50874.02829,0.657712410692658
cx_00174,plate_1,c_fedb710df0,CCOC(=O)CC#N,6269.20997,-0.5873533008722562
cx_00175,plate_1,c_e6d0463547,CCOC(=O)CC(=O)OCC,45290.70919,0.5885782611777316
cx_00176,plate_1,c_b3ed4506c5,CCOC(=O)CC(=O)c1ccccn1,7809.29847,-0.456734818699181
cx_00177,plate_1,c_64763fb818,CCOC(=O)CCCC(=O)CC,49603.38967,0.6426704496392645
cx_00178,plate_1,c_68c2a86217,CCOC(=O)CN(C)C,47224.37919,0.6134416328028729
cx_00179,plate_1,c_2212de4197,CCOC(=O)CNC(=O)CC,51513.71483,0.6651435050758041
cx_00180,plate_1,c_ee76894b5f,CCOC(=O)CNC(C)=O,49130.31687,0.636971518215202
cx_00181,plate_1,c_b169a6c8c9,CCOC(=O)CNC=O,63885.69556,0.7931513839901093
cx_00182,plate_1,c_18e6ade498,CCOC(=O)CO,55662.47298,0.7112078745541026
cx_00183,plate_1,c_a84615054e,CCOC(=O)CSc1ccccc1,55067.99946,0.7048223282662195
cx_00184,plate_1,c_ae77b907b4,CCOC(=O)Cc1ccccn1,46259.59853,0.6011662823188553
cx_00185,plate_1,c_fbaf26268a,CCOC(=O)Cc1ccco1,312.16475,-2.369606107189274
cx_00186,plate_1,c_7c21f60fbe,CCOC(=O)Cc1ncccn1,48362.50538,0.6276041325374332
cx_00187,plate_1,c_102050ed84,CCOC(=O)Cn1nnc(-c2ccccc2)n1,48644.16589,0.6310575811116883
cx_00188,plate_1,c_e30f8f0913,CCOC(=O)NC,43230.33178,0.5608893891397089
cx_00189,plate_1,c_9281238baf,CCOC(=O)OCC,57683.81147,0.7324210901526222
cx_00190,plate_1,c_108b53c136,CCOC(=O)[C@@H]1CCCC[C@H]1O,55140.15261,0.7056010281752207
cx_00191,plate_1,c_89cb2ae633,CCOC(=O)c1c[nH]cn1,26303.87191,0.26542994825013494
cx_00192,plate_1,c_e765e0e3bf,CCOC(=O)c1cc(C)on1,17272.65589,0.015311157332669904
cx_00193,plate_1,c_3c95bd22f1,CCOC(=O)c1ccccc1,55647.33264,0.7110460923414952
cx_00194,plate_1,c_31b01f4948,CCOC(=O)c1ccccn1,53728.84255,0.6901815051195601
cx_00195,plate_1,c_ee7d31e2cf,CCOC(=O)c1cccs1,47553.97188,0.617577793239599
cx_00196,plate_1,c_ea585cb17d,CCOC(=O)c1cn(Cc2ccccc2)nn1,55646.68554,0.7110391767689653
cx_00197,plate_1,c_c30fa48ad6,CCOC(=O)c1cnoc1C,16935.35022,0.0035832390393477293
cx_00198,plate_1,c_03dd82ea86,CCOC(=O)c1csc(-c2ccccn2)n1,188.39713,-2.668676662215489
cx_00199,plate_1,c_c27d0ce9c3,CCOC(=O)c1nc2ccccc2s1,29350.20853,0.3305981757758706
cx_00200,plate_1,c_012155e2f9,CCOC(=O)c1ncc[nH]1,72240.48608,0.8662434242833587
cx_00201,plate_1,c_baa848edde,CCOC(=O)c1nccn1C,47310.22486,0.6145217102158617
cx_00202,plate_1,c_ae96d3b59d,CCOC(=O)c1ncco1,25594.02845,0.24916099873149145
cx_00203,plate_1,c_4aff32e160,CCOCC(=O)OCC,51965.04666,0.6703312124259152
cx_00204,plate_1,c_6e082b9e99,CCOCC(C)O,54255.61347,0.6959837000617686
cx_00205,plate_1,c_1be76f70f6,CCOP(C)(=O)OCC,53819.48746,0.6911839676419135
cx_00206,plate_1,c_c40280aeac,CCOc1ccccc1C(N)=O,52995.26619,0.682005938546701
cx_00207,plate_1,c_da09c99410,CCS(=O)(=O)CC,54506.4229,0.6987265097965865
cx_00208,plate_1,c_e098180e4b,CCSCCO,52936.30434,0.681343914288299
cx_00209,plate_1,c_22809f8f3c,CCc1ccc[nH]1,48875.91408,0.6338840914651878
cx_00210,plate_1,c_440b7660ea,CCc1ncc[nH]1,57612.05333,0.7316808266596491
cx_00211,plate_1,c_2ea890a491,CN(C)/C=N/C(C)(C)C,53565.42364,0.6883699381076797
cx_00212,plate_1,c_af2a4b193e,CN(C)C(=N)N(C)C,51633.10056,0.6665201588703951
cx_00213,plate_1,c_317e995839,CN(C)C(=O)CC#N,50643.26313,0.6550087089608925
cx_00214,plate_1,c_f47df408d8,CN(C)C(C)(C)CO,619.58781,-1.962860458775744
cx_00215,plate_1,c_914e19d17d,CN(C)CC(=O)O,6742.65496,-0.5440629301198843
cx_00216,plate_1,c_6a4be64400,CN(C)CC(C)(C)CO,43522.01865,0.5648885016437337
cx_00217,plate_1,c_3811ccdd73,CN(C)CC(N)=O,7463.01099,-0.4837051322735407
cx_00218,plate_1,c_720d978b35,CN(C)CC(O)CN(C)C,3847.72804,-0.8776124581012628
cx_00219,plate_1,c_3201900a92,CN(C)CCC#N,12437.99915,-0.17995995917515875
cx_00220,plate_1,c_c33fc64fb0,CN(C)CCCCO,4333.06353,-0.8069828214442419
cx_00221,plate_1,c_3f9a09ecec,CN(C)CCCO,12900.81634,-0.15823427023291997
cx_00222,plate_1,c_bce0632f7d,CN(C)CCN(C)C,51991.11502,0.6706294700098511
cx_00223,plate_1,c_1e72e853da,CN(C)CCN(C)CCN(C)C,23020.5642,0.18614133040028852
cx_00224,plate_1,c_b157c6a334,CN(C)S(C)(=O)=O,56222.15256,0.7171576596026601
cx_00225,plate_1,c_9ff0dbf1d2,CN(C)[C@@H](Cc1ccccc1)C(=O)O,47548.69922,0.6175118509097419
cx_00226,plate_1,c_62bb1e62c0,CN(C)c1ccccc1C(=O)O,328.314925,-2.3397009763862373
cx_00227,plate_1,c_5ca5fe8757,CN(C)c1ccccc1C=O,7637.94607,-0.4699276230310873
cx_00228,plate_1,c_050f7ea2f0,CN(C=O)c1ccccn1,39111.86445,0.5013503907250378
cx_00229,plate_1,c_c31c7b64e8,CN(CCO)CCO,1294.16365,-1.525316169622175
cx_00230,plate_1,c_85d4b1e052,CN1C(=O)CC(=O)NC1=O,1035.49836,-1.6578113531689118
cx_00231,plate_1,c_e103b699d9,CN1CC(=O)N=C1N,41882.50816,0.5420528787828175
cx_00232,plate_1,c_51f28a786b,CN1CC(=O)NC1=O,86045.92668,0.9702455844390196
cx_00233,plate_1,c_605547cb23,CN1CCCC1C(=O)O,295.45171,-2.402223104584124
cx_00234,plate_1,c_d93dcf2897,CN1CCCC1CO,3624.56697,-0.9131357878790201
cx_00235,plate_1,c_3b023dc050,CN1CCCCC1=O,52818.25585,0.6800162457386879
cx_00236,plate_1,c_6e40803544,CN1CCCN(C)C1=O,50961.61834,0.6587354277955577
cx_00237,plate_1,c_4957d7ca3b,CN1CCCN2CCCN=C12,12527.61503,-0.17569076250718554
cx_00238,plate_1,c_09e1f17136,CN1Cc2ccccc2NC1=O,35474.33819,0.4432984134408836
cx_00239,plate_1,c_997a594b7c,CNC(=O)C(=O)NC,47817.11367,0.6208595127645433
cx_00240,plate_1,c_f237db1c10,CNC(=O)C(=O)O,0.0,-5.787252453164585
cx_00241,plate_1,c_8cfb815e2a,CNC(=O)C(=O)c1ccccc1,38262.21129,0.4882890186545648
cx_00242,plate_1,c_b976e05e10,CNC(=O)CC#N,38364.44211,0.48987583723053685
cx_00243,plate_1,c_7470c636c0,CNC(=O)N(C)C,12941.253,-0.15637324997398433
cx_00244,plate_1,c_71498407e5,CNC(=O)c1ccccc1,56487.27955,0.7199555013233013
cx_00245,plate_1,c_be036ba8b2,CNC(=O)c1ccccc1O,7187.32327,-0.5060870981099826
cx_00246,plate_1,c_a817d4279f,CNC(=O)c1cn2ccccc2n1,11143.26709,-0.24532555385102792
cx_00247,plate_1,c_58f29607c5,CNS(=O)(=O)N(C)C,50490.49306,0.6532120309626489
cx_00248,plate_1,c_668716921c,CNS(C)(=O)=O,58745.09693,0.7432631630863188
cx_00249,plate_1,c_c5cec6564f,COC(=N)c1cnccn1,4466.85902,-0.7889013507343506
cx_00250,plate_1,c_9cca015370,COC(=O)C(=O)c1ccccc1,22150.12272,0.16321926312482446
cx_00251,plate_1,c_66cf14655d,COC(=O)C(C)=O,53318.54501,0.6856226769792398
cx_00252,plate_1,c_7e7ec024f1,COC(=O)C1CCCC1=O,2031.98268,-1.2571803832600414
cx_00253,plate_1,c_45350345a9,COC(=O)C1CCCCC1,57256.44631,0.7279986928174519
cx_00254,plate_1,c_9282772425,COC(=O)C1CCCCO1,56198.26179,0.7169048965372729
cx_00255,plate_1,c_b782665c2f,COC(=O)CC#N,3280.57674,-0.9724205965755692
cx_00256,plate_1,c_e0cb160a12,COC(=O)CC(=O)CC(=O)OC,2842.0019,-1.0577400083037651
cx_00257,plate_1,c_ca3d6b9daf,COC(=O)CC(N)=O,56861.40706,0.72388134889294
cx_00258,plate_1,c_517c9535bb,COC(=O)CCC#N,44233.54626,0.5745324100612134
cx_00259,plate_1,c_7b104397da,COC(=O)CCC(=O)C(=O)OC,28164.26378,0.30606972371954094
cx_00260,plate_1,c_4e548184f2,COC(=O)CCO,51243.40472,0.6620146944051287
cx_00261,plate_1,c_07bf0d7ec8,COC(=O)CC[N+](=O)[O-],16256.04343,-0.020761846701275025
cx_00262,plate_1,c_129629d843,COC(=O)CCc1c[nH]cn1,30900.98246,0.3612178616222995
cx_00263,plate_1,c_3a2a498940,COC(=O)CN(C)C,49460.61069,0.640956191129398
cx_00264,plate_1,c_3d9c8a3bb9,COC(=O)CNC(=O)C(=O)OC,24481.17517,0.2227243916660024
cx_00265,plate_1,c_b426def58f,COC(=O)CS(C)(=O)=O,63858.057,0.7928940451629138
